month,gap_vad,month_ts
2023-10,0.011579275572456138,2023-10-01
2023-11,0.020252383909558226,2023-11-01
2023-12,0.0276102699555678,2023-12-01
2024-01,0.02701394499498212,2024-01-01
2024-02,0.014985227905157538,2024-02-01
2024-03,0.016635137009415314,2024-03-01
2024-04,0.02182707960971079,2024-04-01
2024-05,0.02673814889483424,2024-05-01
2024-06,0.03570961909731933,2024-06-01
2024-07,0.0349011037668995,2024-07-01
2024-08,0.01783302470231926,2024-08-01
2024-09,0.018446655761061543,2024-09-01
2024-10,0.010302139839255563,2024-10-01
2024-11,0.01870279492343922,2024-11-01
2024-12,0.0400386066681765,2024-12-01
2025-01,0.03965627748197701,2025-01-01
2025-02,0.026972242981413597,2025-02-01
2025-03,0.01701258054630981,2025-03-01
2025-04,0.021822845952001155,2025-04-01
2025-05,0.028643444273211676,2025-05-01
2025-06,0.01117581051892339,2025-06-01
2025-07,0.021609346161020882,2025-07-01
2025-08,0.03658042769335293,2025-08-01
2025-09,0.02366477994695144,2025-09-01
2025-10,0.025169831032423595,2025-10-01
2025-11,0.033715684418037274,2025-11-01
2025-12,0.03757671411363745,2025-12-01
2026-01,0.06693185051198598,2026-01-01
