batch,bloc,pct,n
CEASEFIRE_BREACH,Centre / Majorite,0.10606060606060606,132
CEASEFIRE_BREACH,Droite,0.0,117
CEASEFIRE_BREACH,Gauche moderee,0.11864406779661017,59
CEASEFIRE_BREACH,Gauche radicale,0.12189616252821671,443
CHOC,Centre / Majorite,0.03484320557491289,287
CHOC,Droite,0.005681818181818182,352
CHOC,Gauche moderee,0.4175824175824176,182
CHOC,Gauche radicale,0.36628643852978454,789
MANDATS_CPI,Centre / Majorite,0.125,16
MANDATS_CPI,Droite,0.1111111111111111,36
MANDATS_CPI,Gauche moderee,0.0967741935483871,31
MANDATS_CPI,Gauche radicale,0.05752212389380531,226
NEW_OFFENSIVE,Centre / Majorite,0.11363636363636363,264
NEW_OFFENSIVE,Droite,0.0,199
NEW_OFFENSIVE,Gauche moderee,0.12396694214876033,121
NEW_OFFENSIVE,Gauche radicale,0.07635694572217111,1087
POST_CIJ,Centre / Majorite,0.10909090909090909,55
POST_CIJ,Droite,0.03125,32
POST_CIJ,Gauche moderee,0.5217391304347826,46
POST_CIJ,Gauche radicale,0.35023041474654376,217
POST_SINWAR,Centre / Majorite,0.15151515151515152,33
POST_SINWAR,Droite,0.023255813953488372,43
POST_SINWAR,Gauche moderee,0.0,7
POST_SINWAR,Gauche radicale,0.11038961038961038,154
RAFAH,Centre / Majorite,0.14615384615384616,130
RAFAH,Droite,0.04225352112676056,71
RAFAH,Gauche moderee,0.1792452830188679,106
RAFAH,Gauche radicale,0.15970149253731344,670
