month,ED,n,n_feat,month_ts
2023-10,2.559490257152955,211,3,2023-10-01
2023-11,2.7319462683775653,148,3,2023-11-01
2023-12,2.8371527533607517,55,3,2023-12-01
2024-01,2.7196140792870986,91,3,2024-01-01
2024-02,2.6952147843613323,95,3,2024-02-01
2024-03,2.806815365465207,103,3,2024-03-01
2024-04,2.7112995460670586,104,3,2024-04-01
2024-05,2.8946130776745713,130,3,2024-05-01
2024-06,2.8840033443032937,79,3,2024-06-01
2024-07,2.895820782672112,64,3,2024-07-01
2024-08,2.8653657119431526,59,3,2024-08-01
2024-09,2.92617133605728,57,3,2024-09-01
2024-10,2.8946290431428086,116,3,2024-10-01
2024-11,2.8798753932855745,87,3,2024-11-01
2024-12,2.9046362988438204,45,3,2024-12-01
2025-01,2.929232275466596,96,3,2025-01-01
2025-02,2.96265290259829,70,3,2025-02-01
2025-03,2.8526600184645554,87,3,2025-03-01
2025-04,2.912690442677865,64,3,2025-04-01
2025-05,2.889354487818196,124,3,2025-05-01
2025-06,2.8854507960413853,137,3,2025-06-01
2025-07,2.914672650524401,109,3,2025-07-01
2025-08,2.9101581982186246,49,3,2025-08-01
2025-09,2.967394832385147,85,3,2025-09-01
2025-10,2.864925950967949,87,3,2025-10-01
2025-11,2.9326384959468816,60,3,2025-11-01
2025-12,2.9308225052293615,52,3,2025-12-01
2026-01,2.904124483723502,34,3,2026-01-01
