month,Ec,n,month_ts
2023-10,0.8382978873848583,1353,2023-10-01
2023-11,0.7741668149744538,601,2023-11-01
2023-12,0.6055089246326147,199,2023-12-01
2024-01,0.7154304554054514,352,2024-01-01
2024-02,0.7206322806530361,377,2024-02-01
2024-03,0.818690920825804,407,2024-03-01
2024-04,0.7020726744884833,494,2024-04-01
2024-05,0.627946305783156,867,2024-05-01
2024-06,0.7862196981649714,227,2024-06-01
2024-07,0.7951590107436803,244,2024-07-01
2024-08,0.8832900974557781,184,2024-08-01
2024-09,0.6218823102777602,280,2024-09-01
2024-10,0.8124164530357971,435,2024-10-01
2024-11,0.7050524956575235,320,2024-11-01
2024-12,0.5081824233177212,134,2024-12-01
2025-01,0.6554850036192769,319,2025-01-01
2025-02,0.9030068174503602,175,2025-02-01
2025-03,0.8317803819845829,257,2025-03-01
2025-04,0.6238586581604644,294,2025-04-01
2025-05,0.822316738222008,555,2025-05-01
2025-06,0.7239525327471801,822,2025-06-01
2025-07,0.707356026151066,490,2025-07-01
2025-08,0.6968718894393049,183,2025-08-01
2025-09,0.569500335870049,468,2025-09-01
2025-10,0.7363509509347868,367,2025-10-01
2025-11,0.6642164314792016,147,2025-11-01
2025-12,0.7495209863092727,137,2025-12-01
2026-01,0.732111787207598,86,2026-01-01
