bloc,word,z,arena_favorisee
Gauche radicale,vous,-21.706069319392615,AN
Gauche radicale,mêmes,-13.638827726316208,AN
Gauche radicale,monsieur,-12.426743345618176,AN
Gauche radicale,ministre,-11.987248537101914,AN
Gauche radicale,premier,-10.535803164082646,AN
Gauche radicale,mouvements,-9.873008492043793,AN
Gauche radicale,avez,-9.79647343175314,AN
Gauche radicale,gaza,8.52250848604871,Twitter
Gauche radicale,madame,-8.114772094218557,AN
Gauche radicale,première,-7.896696729441133,AN
Gauche radicale,allez,-7.823358751814595,AN
Gauche radicale,massacres,7.2762827202003475,Twitter
Gauche radicale,pour,7.1113646121778675,Twitter
Gauche radicale,votre,-6.669162416454219,AN
Gauche radicale,génocide,6.638562804291101,Twitter
Gauche radicale,bancs,-6.60814738170665,AN
Gauche radicale,antisémitisme,-6.593824168066343,AN
Gauche radicale,texte,-6.566044426439345,AN
Gauche radicale,où,-6.359470059732859,AN
Gauche radicale,quand,-6.2942215267015635,AN
Gauche radicale,lorsque,-6.016823801794573,AN
Gauche radicale,êtes,-5.9618829945015275,AN
Gauche radicale,celle,-5.85524047681828,AN
Gauche radicale,vingt,-5.835337630953293,AN
Gauche radicale,pourtant,-5.73804026252108,AN
Gauche radicale,nous,-5.708180000931137,AN
Gauche radicale,huit,-5.4121736020838505,AN
Gauche radicale,unies,-5.317015237443855,AN
Gauche radicale,lutter,-5.281544172199325,AN
Gauche radicale,dix,-5.18739843312411,AN
Gauche moderee,vous,-8.571977564311783,AN
Gauche moderee,gaza,7.928277024954351,Twitter
Gauche moderee,ministre,-6.469335704478247,AN
Gauche moderee,palestine,6.103173440285291,Twitter
Gauche moderee,à,5.623563083495684,Twitter
Gauche moderee,nous,-5.44136007005175,AN
Gauche moderee,votre,-5.365859650700457,AN
Gauche moderee,dans,-4.127410212212851,AN
Gauche moderee,question,-4.111748094119901,AN
Gauche moderee,reconnaissance,4.063165710330537,Twitter
Gauche moderee,notre,-3.9876022595481464,AN
Gauche moderee,cessez,3.935009649611856,Twitter
Gauche moderee,millions,-3.922431120276941,AN
Gauche moderee,israël,3.88433156408852,Twitter
Gauche moderee,feu,3.788679953783,Twitter
Gauche moderee,génocide,3.744860445443164,Twitter
Gauche moderee,des,-3.734516817258016,AN
Gauche moderee,avez,-3.691359368062807,AN
Gauche moderee,netanyahou,3.5607585166521702,Twitter
Gauche moderee,pays,-3.5398476532330982,AN
Gauche moderee,ces,-3.537611458516704,AN
Gauche moderee,étrangères,-3.5307630938275203,AN
Gauche moderee,libération,3.512347937587237,Twitter
Gauche moderee,m,-3.4975654618054715,AN
