month,bloc,care,fairness,loyalty,authority,sanctity,n,month_ts
2023-10,Centre / Majorite,0.19481008874003825,0.18122651600315617,0.20466223332959715,0.1782158285515274,0.1685584127132223,255,2023-10-01
2023-10,Droite,0.19049456468719037,0.1767549498040384,0.20458106588040142,0.17678861129939186,0.16436372583045472,300,2023-10-01
2023-10,Gauche moderee,0.2081970222525802,0.18136308344984756,0.21276950107459505,0.18467308598592802,0.17144477691972262,153,2023-10-01
2023-10,Gauche radicale,0.21196840889504356,0.19382170118359804,0.21373484054102343,0.18820454515469298,0.18093711588261954,645,2023-10-01
2023-11,Centre / Majorite,0.18269504616476598,0.1691514297583943,0.2035623527196457,0.16863270290130247,0.16259129829602967,107,2023-11-01
2023-11,Droite,0.20453174477433145,0.1938698495505208,0.21872057073132758,0.18181956286318895,0.17274420321712852,107,2023-11-01
2023-11,Gauche moderee,0.19605476929163043,0.16819591547034668,0.20389349614326105,0.16119058549736814,0.1479789378563482,55,2023-11-01
2023-11,Gauche radicale,0.19397104744129234,0.17795904668753382,0.20530798420860957,0.1760145899576088,0.17141390277694082,332,2023-11-01
2023-12,Centre / Majorite,0.18382568859756088,0.16222226383345958,0.20053562635253344,0.18068071778330141,0.15485966178386276,10,2023-12-01
2023-12,Droite,0.19741766399585803,0.18590265445762458,0.18264511730109148,0.17918132804362494,0.16459532762440707,16,2023-12-01
2023-12,Gauche moderee,0.1765197160994598,0.1695498265229646,0.20702591800062561,0.18123186399121272,0.1671356474403148,16,2023-12-01
2023-12,Gauche radicale,0.20778953090506827,0.17870863895005173,0.201651896883482,0.18192373032755885,0.17635416694738312,157,2023-12-01
2024-01,Centre / Majorite,0.17331512384453,0.16290141770359187,0.18393753511109326,0.1540709013385893,0.15212778753232864,64,2024-01-01
2024-01,Droite,0.19959801986582382,0.19175223759427673,0.18495235137638252,0.17347484467758315,0.16050455203592567,32,2024-01-01
2024-01,Gauche moderee,0.19734506074370864,0.1740651024633398,0.22944412928664995,0.1917613102445985,0.17011187092567184,30,2024-01-01
2024-01,Gauche radicale,0.19851539975487276,0.19109740508667414,0.21080602495746978,0.17897779200002614,0.17032877482667644,226,2024-01-01
2024-02,Centre / Majorite,0.1758886939902724,0.15142695759318567,0.17185020166513276,0.15655929226572343,0.1446942026626959,65,2024-02-01
2024-02,Droite,0.19521117570537258,0.17130300337614762,0.18902842575198583,0.16422912487538233,0.16533058744050552,32,2024-02-01
2024-02,Gauche moderee,0.21286732171173656,0.16754117282696573,0.19747225060909868,0.17062261398857154,0.16481194503552782,55,2024-02-01
2024-02,Gauche radicale,0.20712473309080498,0.18475341289712008,0.21068952457284995,0.18351098377350525,0.18231544975141245,225,2024-02-01
2024-03,Centre / Majorite,0.183558444120087,0.1553790042429503,0.18493782169785852,0.17218490177814075,0.1597917951389593,47,2024-03-01
2024-03,Droite,0.2014689987570229,0.21096387861765598,0.21594068578353084,0.20070150416369475,0.18558440743953128,73,2024-03-01
2024-03,Gauche moderee,0.19675509139404657,0.18426189836524431,0.2223869884228816,0.1852907866174833,0.18590420747467584,44,2024-03-01
2024-03,Gauche radicale,0.1988455553025905,0.18859413528089955,0.2070367064590133,0.18321036455333292,0.1782611537320049,243,2024-03-01
2024-04,Centre / Majorite,0.19067412761567878,0.1770837718248553,0.21042125684736218,0.17669868542551556,0.1680072167456434,51,2024-04-01
2024-04,Droite,0.18493064272975673,0.18339472330324877,0.20250084874799337,0.17215472001807527,0.16231764974895152,51,2024-04-01
2024-04,Gauche moderee,0.19640607470914165,0.18700185834399397,0.22208232797498395,0.18889842436604412,0.18510998400968653,43,2024-04-01
2024-04,Gauche radicale,0.20093208643639537,0.18535503472860604,0.20950067814377096,0.18987615779712402,0.17976061403381946,349,2024-04-01
2024-05,Centre / Majorite,0.19281882159944233,0.18038235731756977,0.20705946052866092,0.1738816676636121,0.1653085580069827,104,2024-05-01
2024-05,Droite,0.21508083586597437,0.2019190893288726,0.21913045210053433,0.1920447130015965,0.18005253027792228,63,2024-05-01
2024-05,Gauche moderee,0.20092648712048905,0.18714918156018195,0.2266944628017195,0.19139960897672736,0.18277804416361382,92,2024-05-01
2024-05,Gauche radicale,0.20119204436265462,0.1891875281047008,0.21915933616639158,0.1886800244945588,0.18114513041451458,608,2024-05-01
2024-06,Centre / Majorite,0.17648039478030342,0.1781602423095441,0.20260545088487422,0.17528078674852698,0.16902181047965198,52,2024-06-01
2024-06,Droite,0.19829968261971423,0.19041398051546868,0.23057103218039487,0.19479995283337878,0.17922973708537243,25,2024-06-01
2024-06,Gauche moderee,0.2004470224959736,0.1943628228012931,0.23976897288724544,0.19380951971672497,0.18006555248681932,24,2024-06-01
2024-06,Gauche radicale,0.19056624772711045,0.17649361236044347,0.2077817284684907,0.18531290183265967,0.17878088503712872,126,2024-06-01
2024-07,Centre / Majorite,0.19036838400566475,0.1628851875814503,0.18644449777388786,0.1820985181462209,0.16602765287711943,27,2024-07-01
2024-07,Droite,0.1906835587565619,0.18926308554202098,0.20842786388111806,0.1941359831710404,0.17430289987716713,40,2024-07-01
2024-07,Gauche moderee,0.21334638542250942,0.20322241410561298,0.2201152609515812,0.19054427379719566,0.16959667235678452,14,2024-07-01
2024-07,Gauche radicale,0.19276310094498617,0.1959855799739636,0.21587127141075596,0.19128397384056084,0.1803860329840981,163,2024-07-01
2024-08,Centre / Majorite,0.1839653251104857,0.1829830615162349,0.20568030808534102,0.17941177787883156,0.17433103735177236,35,2024-08-01
2024-08,Droite,0.17920965924896576,0.18284950477199555,0.2035573982209664,0.17216384546705388,0.16303239951660894,34,2024-08-01
2024-08,Gauche moderee,0.2048015277562278,0.18858783061367065,0.21422535048389768,0.19815548507224215,0.17809138588021833,16,2024-08-01
2024-08,Gauche radicale,0.19760496375751954,0.18525831971813136,0.20775839615412156,0.18816319731820802,0.17187574626394367,99,2024-08-01
2024-09,Centre / Majorite,0.14389433068486215,0.15217053262691263,0.16326424859432667,0.13981512980080232,0.13749836796645548,15,2024-09-01
2024-09,Droite,0.22015790115667655,0.21130463166772367,0.23414041322789805,0.20895218622924647,0.2024922416114071,19,2024-09-01
2024-09,Gauche moderee,0.23489605551930484,0.18918835183301497,0.2551373022836608,0.22313652602149578,0.21062984790962822,21,2024-09-01
2024-09,Gauche radicale,0.19701278357178406,0.18244784116783985,0.20959785171267653,0.19158776633848115,0.1814645108105239,225,2024-09-01
2024-10,Centre / Majorite,0.1804740776755901,0.15707261631069963,0.17839440530158773,0.15919061603574153,0.15164230639572993,70,2024-10-01
2024-10,Droite,0.2107607373653366,0.18639637095826728,0.21673268736422635,0.1931251595575635,0.18040469769937592,92,2024-10-01
2024-10,Gauche moderee,0.19537315020227453,0.17635512948141321,0.18762024309307318,0.16649333319486687,0.16093854261388565,23,2024-10-01
2024-10,Gauche radicale,0.19185958923356258,0.17535374994963726,0.20366467867629864,0.17952216704392104,0.16920928026411058,250,2024-10-01
2024-11,Centre / Majorite,0.1651202538247265,0.16592066623221716,0.1744302632936194,0.15052455430203426,0.1443569658644082,30,2024-11-01
2024-11,Droite,0.1878037904357357,0.18356331123704536,0.1980763633345277,0.18558203818491295,0.16847702596122074,43,2024-11-01
2024-11,Gauche moderee,0.2062697453051876,0.17731279603865535,0.23460873812239663,0.18609341208173857,0.17154706095336322,38,2024-11-01
2024-11,Gauche radicale,0.20490691867866875,0.19331697071796558,0.22216886757065912,0.18485530624835017,0.1795920186953784,209,2024-11-01
2024-12,Centre / Majorite,0.17266926067100422,0.18191279962591841,0.20362203903444043,0.16354934572709798,0.1417136888711342,6,2024-12-01
2024-12,Droite,0.19011773002036694,0.18552739255376174,0.18807026550231418,0.14825679593022392,0.15489108272881094,15,2024-12-01
2024-12,Gauche moderee,0.19175996313915944,0.19047904380845843,0.1952204763623971,0.14601983461256676,0.15972502613924755,10,2024-12-01
2024-12,Gauche radicale,0.19642792232339853,0.19513788614010022,0.21483915803277337,0.1927674930317575,0.17973565630661933,103,2024-12-01
2025-01,Centre / Majorite,0.15932733467798693,0.1452348258775943,0.18988318225556075,0.16110107261481507,0.14904120349170702,41,2025-01-01
2025-01,Droite,0.1886594462783426,0.18967785694685743,0.20406211838070556,0.1786254126439333,0.16990143372071878,31,2025-01-01
2025-01,Gauche moderee,0.19084228748109583,0.17621799540913707,0.2027571937961494,0.18547731837770487,0.16664154446264282,29,2025-01-01
2025-01,Gauche radicale,0.1868996647939067,0.1727095189621346,0.19539928194071324,0.17231000571086993,0.1638468870795458,218,2025-01-01
2025-02,Centre / Majorite,0.1760354448756173,0.16016025788672178,0.18013082194155491,0.15540604382109804,0.15056740518942616,44,2025-02-01
2025-02,Droite,0.20021079501180286,0.1790726908498495,0.20135329952284448,0.1616637214643254,0.1692341467546259,45,2025-02-01
2025-02,Gauche moderee,0.18584458162044115,0.17266135460871723,0.19480834949839942,0.17372234789326887,0.17164619205925258,12,2025-02-01
2025-02,Gauche radicale,0.18974560242828176,0.18491578341660317,0.20793916192672005,0.18436840124100592,0.17222527249875147,74,2025-02-01
2025-03,Centre / Majorite,0.17710769801169604,0.16572352572598173,0.19265298145125712,0.1663750432162714,0.1584455308580462,47,2025-03-01
2025-03,Droite,0.20242058454547743,0.19504218596090625,0.21146475526128322,0.19617399859097873,0.18969777409473115,41,2025-03-01
2025-03,Gauche moderee,0.18210029609580283,0.1740805822390496,0.20151050351922023,0.15006314830218814,0.14549264489777525,18,2025-03-01
