author,stance_initial,stance_final,delta_individuel,bloc,mover_type,rupture_date
Adrien Quatennens,1.1666666666666667,2.0,0.8333333333333333,Gauche radicale,modere,
Agnès Firmin Le Bodo,-2.0,-1.0,1.0,Centre / Majorite,modere,
Alma Dufour,1.4615384615384615,1.696,0.2344615384615385,Gauche radicale,non_mover,
Amélia Lakrafi,0.0,0.8571428571428571,0.8571428571428571,Centre / Majorite,modere,
Anne-Cécile Violland,-1.5,-1.0,0.5,Centre / Majorite,non_mover,
Antoine Léaument,1.2,1.4090909090909092,0.20909090909090922,Gauche radicale,non_mover,
Antoine Villedieu,-2.0,-2.0,0.0,Droite,non_mover,
Arthur Delaporte,0.5,0.5,0.0,Gauche moderee,non_mover,
Aurore Bergé,-1.125,-0.9333333333333333,0.19166666666666665,Centre / Majorite,non_mover,
Aurélien Saintoul,1.6,1.3548387096774193,-0.24516129032258083,Gauche radicale,non_mover,
Aurélien Taché,1.7333333333333334,1.5277777777777777,-0.2055555555555557,Gauche radicale,non_mover,
Aymeric Caron,1.1666666666666667,1.6895306859205776,0.5228640192539109,Gauche radicale,non_mover,
Bastien Lachaud,1.6470588235294117,1.6744186046511629,0.027359781121751192,Gauche radicale,non_mover,
Belkhir Belhaddad,1.0,1.0,0.0,Centre / Majorite,non_mover,
Benjamin Haddad,-1.0625,-1.0,0.0625,Centre / Majorite,non_mover,
Boris Vallaud,0.6,1.0,0.4,Gauche moderee,non_mover,
Brigitte Klinkert,-0.6666666666666666,-1.0,-0.33333333333333337,Centre / Majorite,non_mover,
Bruno Bilde,-1.4,-1.75,-0.3500000000000001,Droite,non_mover,
Bryan Masson,-1.0,-1.0,0.0,Droite,non_mover,
Carlos Martens Bilongo,1.6428571428571428,1.7272727272727273,0.0844155844155845,Gauche radicale,non_mover,
Caroline Parmentier,-1.0,-2.0,-1.0,Droite,modere,
Caroline Yadan,-0.8,-1.1111111111111112,-0.3111111111111111,Centre / Majorite,non_mover,
Catherine Couturier,1.2,1.75,0.55,Gauche radicale,non_mover,
Claire Lejeune,1.0,1.911764705882353,0.911764705882353,Gauche radicale,modere,
Clémence Guetté,1.8333333333333333,1.875,0.04166666666666674,Gauche radicale,non_mover,
Clémentine Autain,1.375,1.8076923076923077,0.4326923076923077,Gauche radicale,non_mover,
Constance Le Grip,-1.1153846153846154,-1.0,0.11538461538461542,Centre / Majorite,non_mover,
Céline Calvez,-0.3333333333333333,0.3333333333333333,0.6666666666666666,Centre / Majorite,non_mover,
Damien Maudet,1.4285714285714286,1.0,-0.4285714285714286,Gauche radicale,non_mover,
Danielle Simonnet,1.5,1.0,-0.5,Gauche moderee,non_mover,
Danièle Obono,1.7,1.7926829268292683,0.09268292682926838,Gauche radicale,non_mover,
David Guiraud,1.7215189873417722,1.9393939393939394,0.21787495205216723,Gauche radicale,non_mover,
Dominique Potier,0.3333333333333333,0.3333333333333333,0.0,Gauche moderee,non_mover,
Edwige Diaz,-2.0,-1.0714285714285714,0.9285714285714286,Droite,modere,
Elsa Faucillon,1.4,1.7826086956521738,0.3826086956521739,Gauche radicale,non_mover,
Emmanuel Fernandes,1.5666666666666667,1.4545454545454546,-0.11212121212121207,Gauche radicale,non_mover,
