author,bloc,PC1,PC2
Adrien Quatennens,Gauche radicale,0.22800388863446955,0.10826089925673661
Agnès Firmin Le Bodo,Centre / Majorite,-0.1630223775872886,-0.17947218402701057
Alexandre Portier,Droite,-0.13382474645183592,-0.06223536650529207
Alexandre Sabatou,Droite,-0.22009249255445462,-0.1561666213339691
Alexis Jolly,Droite,0.0041466509083900515,-0.10342364088783634
Alma Dufour,Gauche radicale,0.324307854153454,0.031075710795144304
Amélia Lakrafi,Centre / Majorite,0.28140024987594725,-0.03130143341666253
Anne Sicard,Droite,-0.019217577873728204,-0.18295262375600943
Anne-Cécile Violland,Centre / Majorite,-0.1998054234397516,-0.3149783800172032
Antoine Léaument,Gauche radicale,0.21935547934628163,0.11140649906781853
Antoine Villedieu,Droite,0.05506662780979192,-0.07416391294514108
Arthur Delaporte,Gauche moderee,0.20280101998310804,-0.10637079160019343
Aurore Bergé,Centre / Majorite,0.11354101053648316,0.05339485842285614
Aurélien Lopez-Liguori,Droite,-0.4024981908288328,-0.062219705684924666
Aurélien Saintoul,Gauche radicale,0.2977528454040069,0.028459417617620605
Aurélien Taché,Gauche radicale,0.29596134352199926,0.03701671447878576
Ayda Hadizadeh,Gauche moderee,0.1191091684768684,0.003121366466308701
Aymeric Caron,Gauche radicale,0.2708575629335717,0.14747788745537171
Bastien Lachaud,Gauche radicale,0.33191275302910406,-0.0026311839250999242
Belkhir Belhaddad,Centre / Majorite,-0.04140223301281516,-0.19099308403305626
Benjamin Haddad,Centre / Majorite,0.19696544887914397,-0.16131705846004823
Boris Vallaud,Gauche moderee,0.237913005247491,-0.10788112077730481
Brigitte Klinkert,Centre / Majorite,0.10501501157161543,-0.2735169877327395
Brigitte Liso,Centre / Majorite,-0.3888030179512021,-0.1856199333084032
Bruno Bilde,Droite,0.18592478653557026,-0.05413536620014686
Bruno Fuchs,Centre / Majorite,0.14340473481712773,-0.2099635253993677
Bruno Millienne,Centre / Majorite,0.04790839349727281,0.04753785762963243
Bryan Masson,Droite,-0.08197758294141623,-0.12191697561370947
Carlos Martens Bilongo,Gauche radicale,0.2994159508876112,0.017174529309072102
Caroline Abadie,Centre / Majorite,-0.16447827463412204,-0.016545996179795838
Caroline Colombier,Droite,-0.120379220766212,-0.04898445364235983
Caroline Parmentier,Droite,-0.07164876643360059,-0.13273266865816516
Caroline Yadan,Centre / Majorite,0.2987104741715476,-0.03076707975607012
Catherine Couturier,Gauche radicale,0.09670920547421513,-0.06617384504399183
Charles Sitzenstuhl,Centre / Majorite,-0.03706471103360461,-0.04526407145022445
Christophe Marion,Centre / Majorite,-0.17737321405750872,-0.3182919644219229
Claire Lejeune,Gauche radicale,0.30054177549361394,-0.03658092012912918
Clémence Guetté,Gauche radicale,0.2585952604134794,-0.014573650310971067
Clémentine Autain,Gauche radicale,0.33428466308729116,-0.07038889255017311
Constance Le Grip,Centre / Majorite,0.2164066354717746,-0.16260330629114375
Cyrielle Chatelain,Gauche moderee,0.2155926367008314,-0.12617982763915309
Cécile Rilhac,Centre / Majorite,-0.02538770090621946,-0.2594876046529712
Céline Calvez,Centre / Majorite,0.12360785914032565,-0.22313060658592582
Céline Hervieu,Gauche moderee,-0.36375882463513,-0.06607021142681664
Damien Maudet,Gauche radicale,0.18599831708656425,-0.05771932909495588
Daniel Labaronne,Centre / Majorite,-0.03538930511370906,-0.2926003816685834
Danielle Simonnet,Gauche moderee,0.2390639896374469,-0.10499403813289052
Danièle Obono,Gauche radicale,0.2778786243210513,0.024306129387822714
David Guiraud,Gauche radicale,0.3057642952409563,0.0540071978151743
Didier Martin,Centre / Majorite,-0.12623124747642298,-0.37656943232068846
Dominique Potier,Gauche moderee,0.1063508630845648,-0.1805388817447867
Edwige Diaz,Droite,0.08426062136655535,-0.10054217029118702
Elsa Faucillon,Gauche radicale,0.31905658050399915,-0.05770123475239807
Emmanuel Fernandes,Gauche radicale,0.22806281579794788,-0.07412141445943972
Emmanuelle Ménard,Droite,-0.012882358475143,-0.30507598690952537
Ersilia Soudais,Gauche radicale,0.26351206856123655,0.03346343540827706
Erwan Balanant,Centre / Majorite,-0.14883247905908223,-0.12890728372220833
Eva Sas,Gauche moderee,0.18986290289795266,-0.10702921770180052
Fabien Roussel,Gauche radicale,0.268081124588537,-0.13439243521363942
Florian Chauche,Gauche radicale,0.23232177066758175,-0.070377992474127
Franck Riester,Centre / Majorite,-0.05057367483596657,-0.11204385710037683
Frank Giletti,Droite,-0.2748708053524738,-0.05033689030533314
François Cormier-Bouligeon,Centre / Majorite,0.15891474041517642,-0.12640162923593717
François Piquemal,Gauche radicale,0.24754935052144228,-0.005148935425350409
François Ruffin,Gauche moderee,0.2802048515028623,-0.03211831388051941
Frédéric Maillot,Gauche radicale,-0.4273643537157634,-0.06975850327277414
Frédéric Valletoux,Centre / Majorite,-0.08876147308048575,-0.2710828160548428
Gabriel Amard,Gauche radicale,0.28408444354053675,-0.07094665957293837
Gabriel Attal,Centre / Majorite,0.11410282181034094,-0.2512242577299763
Gabrielle Cathala,Gauche radicale,0.30169349206841883,-0.05738565499250925
Gisèle Lelouis,Droite,-0.03551537302920353,-0.2490585245827039
Grégoire de Fournas,Droite,-0.5308793486130922,0.0134238218397046
Guillaume Bigot,Droite,0.19241797414422543,-0.00306435080086365
Guillaume Kasbarian,Centre / Majorite,-0.3979339834606357,-0.2963589453512647
Gérald Darmanin,Centre / Majorite,0.13847730534569694,-0.10841125286325673
Hadrien Clouet,Gauche radicale,0.26968432551898885,-0.01766637278362116
Hanane Mansouri,Droite,-0.24498553684153668,-0.08863431653916871
Hendrik Davi,Gauche moderee,0.25570625701706595,-0.08419178432705053
Hervé de Lépinau,Droite,0.12974864588681556,-0.0655070828506412
