Député,Facebook,Twitter
Mme Caroline Abadie,https://fr-fr.facebook.com/caroline.abadie.16/,https://twitter.com/@AbadieCaroline/
Mme Nadège Abomangoli,https://fr-fr.facebook.com/Deputee.Abomangoli/,https://twitter.com/@abomangoli/
M. Jean-Félix Acquaviva,https://fr-fr.facebook.com/jeanfelixacquaviva/,https://twitter.com/@JF_Acquaviva/
M. Damien Adam,https://fr-fr.facebook.com/damienadamdepute/,https://twitter.com/@damienadam76/
Mme Sabrina Agresti-Roubache,https://fr-fr.facebook.com/sabrinaagrestiroubache/,https://twitter.com/@sabrinaroubache/
M. Éric Alauzet,https://fr-fr.facebook.com/@ericalauzet/,https://twitter.com/@ericalauzet/
M. Laurent Alexandre,https://fr-fr.facebook.com/LaurentAlexandre2022/,https://twitter.com/@LauAlexandre12/
M. Franck Allisio,,https://twitter.com/@franckallisio/
M. Gabriel Amard,https://fr-fr.facebook.com/GabrielAmard/,https://twitter.com/@gabrielamard/
M. David Amiel,,https://twitter.com/@Amiel_David_/
Mme Ségolène Amiot,,https://twitter.com/@SegoleneAmiot/
Mme Emmanuelle Anthoine,https://fr-fr.facebook.com/emmanuelle.anthoine.1/,
M. Jean-Philippe Ardouin,https://fr-fr.facebook.com/jpardouin/,https://twitter.com/@jean_ardouin/
M. Rodrigo Arenas,,https://twitter.com/@arenasrodrigo_/
Mme Clémentine Autain,https://fr-fr.facebook.com/clementineautain/,https://twitter.com/@Clem_Autain/
M. Joël Aviragnet,https://fr-fr.facebook.com/profile.php?id=100001391067319/,https://twitter.com/@JAviragnet/
M. Erwan Balanant,https://fr-fr.facebook.com/erwanbalanant/,https://twitter.com/@erwanbalanant/
M. Philippe Ballard,https://fr-fr.facebook.com/BallardPhilippe/,https://twitter.com/@BallardPhilippe/
Mme Géraldine Bannier,https://fr-fr.facebook.com/geraldine.bannier.1/,https://twitter.com/@Bannier_G/
M. Christian Baptiste,,https://twitter.com/@ChrisBapt/
M. Christophe Barthès,https://fr-fr.facebook.com/Christophe Barthès/,
Mme Nathalie Bassire,https://fr-fr.facebook.com/nathbassire/,https://twitter.com/@NathalieBassire/
M. Quentin Bataillon,,https://twitter.com/@qbataillon/
Mme Delphine Batho,https://fr-fr.facebook.com/DelphineBatho/,https://twitter.com/@delphinebatho/
Mme Marie-Noëlle Battistel,https://fr-fr.facebook.com/marienoelle.battistel/,
M. Julien Bayou,https://fr-fr.facebook.com/BayouJulien/,https://twitter.com/@JulienBayou/
M. Thibault Bazin,https://fr-fr.facebook.com/DeputeThibaultBAZIN/,https://twitter.com/@thibault_bazin/
