month,bloc,pct,n,month_ts
2023-10,Centre / Majorite,0.03137254901960784,255,2023-10-01
2023-10,Droite,0.023333333333333334,300,2023-10-01
2023-10,Gauche moderee,0.20261437908496732,153,2023-10-01
2023-10,Gauche radicale,0.23255813953488372,645,2023-10-01
2023-11,Centre / Majorite,0.06542056074766354,107,2023-11-01
2023-11,Droite,0.018691588785046728,107,2023-11-01
2023-11,Gauche moderee,0.3090909090909091,55,2023-11-01
2023-11,Gauche radicale,0.3192771084337349,332,2023-11-01
2023-12,Centre / Majorite,0.3,10,2023-12-01
2023-12,Droite,0.0,16,2023-12-01
2023-12,Gauche moderee,0.1875,16,2023-12-01
2023-12,Gauche radicale,0.12738853503184713,157,2023-12-01
2024-01,Centre / Majorite,0.03125,64,2024-01-01
2024-01,Droite,0.0,32,2024-01-01
2024-01,Gauche moderee,0.3,30,2024-01-01
2024-01,Gauche radicale,0.18141592920353983,226,2024-01-01
2024-02,Centre / Majorite,0.06153846153846154,65,2024-02-01
2024-02,Droite,0.03125,32,2024-02-01
2024-02,Gauche moderee,0.18181818181818182,55,2024-02-01
2024-02,Gauche radicale,0.2311111111111111,225,2024-02-01
2024-03,Centre / Majorite,0.0425531914893617,47,2024-03-01
2024-03,Droite,0.0,73,2024-03-01
2024-03,Gauche moderee,0.2727272727272727,44,2024-03-01
2024-03,Gauche radicale,0.23045267489711935,243,2024-03-01
2024-04,Centre / Majorite,0.0784313725490196,51,2024-04-01
2024-04,Droite,0.0196078431372549,51,2024-04-01
2024-04,Gauche moderee,0.16279069767441862,43,2024-04-01
2024-04,Gauche radicale,0.17478510028653296,349,2024-04-01
2024-05,Centre / Majorite,0.14423076923076922,104,2024-05-01
2024-05,Droite,0.031746031746031744,63,2024-05-01
2024-05,Gauche moderee,0.08695652173913043,92,2024-05-01
2024-05,Gauche radicale,0.09210526315789473,608,2024-05-01
2024-06,Centre / Majorite,0.038461538461538464,52,2024-06-01
2024-06,Droite,0.0,25,2024-06-01
2024-06,Gauche moderee,0.08333333333333333,24,2024-06-01
2024-06,Gauche radicale,0.1349206349206349,126,2024-06-01
2024-07,Centre / Majorite,0.07407407407407407,27,2024-07-01
2024-07,Droite,0.0,40,2024-07-01
2024-07,Gauche moderee,0.14285714285714285,14,2024-07-01
2024-07,Gauche radicale,0.12269938650306748,163,2024-07-01
2024-08,Centre / Majorite,0.02857142857142857,35,2024-08-01
2024-08,Droite,0.0,34,2024-08-01
2024-08,Gauche moderee,0.125,16,2024-08-01
2024-08,Gauche radicale,0.020202020202020204,99,2024-08-01
2024-09,Centre / Majorite,0.13333333333333333,15,2024-09-01
2024-09,Droite,0.0,19,2024-09-01
2024-09,Gauche moderee,0.09523809523809523,21,2024-09-01
2024-09,Gauche radicale,0.09777777777777778,225,2024-09-01
2024-10,Centre / Majorite,0.15714285714285714,70,2024-10-01
2024-10,Droite,0.03260869565217391,92,2024-10-01
2024-10,Gauche moderee,0.0,23,2024-10-01
2024-10,Gauche radicale,0.152,250,2024-10-01
2024-11,Centre / Majorite,0.03333333333333333,30,2024-11-01
2024-11,Droite,0.06976744186046512,43,2024-11-01
2024-11,Gauche moderee,0.02631578947368421,38,2024-11-01
2024-11,Gauche radicale,0.06698564593301436,209,2024-11-01
2024-12,Centre / Majorite,0.16666666666666666,6,2024-12-01
2024-12,Droite,0.13333333333333333,15,2024-12-01
2024-12,Gauche moderee,0.1,10,2024-12-01
2024-12,Gauche radicale,0.019417475728155338,103,2024-12-01
2025-01,Centre / Majorite,0.2926829268292683,41,2025-01-01
2025-01,Droite,0.0,31,2025-01-01
2025-01,Gauche moderee,0.2413793103448276,29,2025-01-01
2025-01,Gauche radicale,0.23853211009174313,218,2025-01-01
2025-02,Centre / Majorite,0.022727272727272728,44,2025-02-01
2025-02,Droite,0.0,45,2025-02-01
2025-02,Gauche moderee,0.0,12,2025-02-01
2025-02,Gauche radicale,0.013513513513513514,74,2025-02-01
2025-03,Centre / Majorite,0.10638297872340426,47,2025-03-01
2025-03,Droite,0.0,41,2025-03-01
2025-03,Gauche moderee,0.16666666666666666,18,2025-03-01
2025-03,Gauche radicale,0.17880794701986755,151,2025-03-01
2025-04,Centre / Majorite,0.11538461538461539,26,2025-04-01
2025-04,Droite,0.0,24,2025-04-01
2025-04,Gauche moderee,0.07142857142857142,14,2025-04-01
2025-04,Gauche radicale,0.05217391304347826,230,2025-04-01
2025-05,Centre / Majorite,0.06557377049180328,122,2025-05-01
2025-05,Droite,0.0,74,2025-05-01
2025-05,Gauche moderee,0.04,50,2025-05-01
2025-05,Gauche radicale,0.022653721682847898,309,2025-05-01
2025-06,Centre / Majorite,0.08620689655172414,116,2025-06-01
2025-06,Droite,0.009900990099009901,101,2025-06-01
2025-06,Gauche moderee,0.05263157894736842,57,2025-06-01
2025-06,Gauche radicale,0.021897810218978103,548,2025-06-01
2025-07,Centre / Majorite,0.03225806451612903,31,2025-07-01
2025-07,Droite,0.0,77,2025-07-01
2025-07,Gauche moderee,0.02857142857142857,35,2025-07-01
2025-07,Gauche radicale,0.025936599423631124,347,2025-07-01
2025-08,Centre / Majorite,0.0,14,2025-08-01
2025-08,Droite,0.0,22,2025-08-01
2025-08,Gauche moderee,0.0,20,2025-08-01
2025-08,Gauche radicale,0.015748031496062992,127,2025-08-01
2025-09,Centre / Majorite,0.047619047619047616,21,2025-09-01
2025-09,Droite,0.0,47,2025-09-01
2025-09,Gauche moderee,0.05263157894736842,57,2025-09-01
2025-09,Gauche radicale,0.011661807580174927,343,2025-09-01
2025-10,Centre / Majorite,0.08771929824561403,57,2025-10-01
2025-10,Droite,0.025,40,2025-10-01
2025-10,Gauche moderee,0.0,10,2025-10-01
2025-10,Gauche radicale,0.1423076923076923,260,2025-10-01
2025-11,Centre / Majorite,0.2,10,2025-11-01
2025-11,Droite,0.0,17,2025-11-01
2025-11,Gauche moderee,0.05263157894736842,19,2025-11-01
2025-11,Gauche radicale,0.12871287128712872,101,2025-11-01
2025-12,Centre / Majorite,0.0,14,2025-12-01
2025-12,Droite,0.0,11,2025-12-01
2025-12,Gauche moderee,0.0,15,2025-12-01
2025-12,Gauche radicale,0.030927835051546393,97,2025-12-01
2026-01,Centre / Majorite,0.0,8,2026-01-01
2026-01,Droite,0.0,4,2026-01-01
2026-01,Gauche moderee,0.0,1,2026-01-01
2026-01,Gauche radicale,0.0684931506849315,73,2026-01-01
