author,bloc
Alma Dufour,Gauche radicale
Antoine Léaument,Gauche radicale
Aurore Bergé,Centre / Majorite
Aurélien Saintoul,Gauche radicale
Aurélien Taché,Gauche radicale
Aymeric Caron,Gauche radicale
Bastien Lachaud,Gauche radicale
Bruno Bilde,Droite
Carlos Martens Bilongo,Gauche radicale
Caroline Yadan,Centre / Majorite
Clémentine Autain,Gauche radicale
Constance Le Grip,Centre / Majorite
Danièle Obono,Gauche radicale
David Guiraud,Gauche radicale
Elsa Faucillon,Gauche radicale
Emmanuel Fernandes,Gauche radicale
Fabien Roussel,Gauche radicale
François Cormier-Bouligeon,Centre / Majorite
François Piquemal,Gauche radicale
Gabriel Amard,Gauche radicale
Gabrielle Cathala,Gauche radicale
Hadrien Clouet,Gauche radicale
Jean-François Coulomme,Gauche radicale
Julien Odoul,Droite
Jérôme Buisson,Droite
Jérôme Guedj,Gauche moderee
Jérôme Legavre,Gauche radicale
Louis Boyard,Gauche radicale
Manuel Bompard,Gauche radicale
Mathilde Panot,Gauche radicale
Michèle Tabarot,Droite
Nadège Abomangoli,Gauche radicale
Nathalie Oziol,Gauche radicale
Olivier Faure,Gauche moderee
Paul Vannier,Gauche radicale
Pierre-Yves Cadalen,Gauche radicale
Raphaël Arnault,Gauche radicale
Sabrina Sebaihi,Gauche moderee
Soumya Bourouaha,Gauche radicale
Sébastien Delogu,Gauche radicale
Ségolène Amiot,Gauche radicale
Thomas Portes,Gauche radicale
Ugo Bernalicis,Gauche radicale
Éric Coquerel,Gauche radicale
