month,dist,month_ts
2023-10,0.14590087633208448,2023-10-01
2023-11,0.23450341691666285,2023-11-01
2023-12,0.2736850488190176,2023-12-01
2024-01,0.28213238513876143,2024-01-01
2024-02,0.24955551764845973,2024-02-01
2024-03,0.23635004671106183,2024-03-01
2024-04,0.23945042059243335,2024-04-01
2024-05,0.23101693802440745,2024-05-01
2024-06,0.23838725486273926,2024-06-01
2024-07,0.29990168860494393,2024-07-01
2024-08,0.25811721981000835,2024-08-01
2024-09,0.3292762398493085,2024-09-01
2024-10,0.2293638554147873,2024-10-01
2024-11,0.22971064283337703,2024-11-01
2024-12,0.3673781991883265,2024-12-01
2025-01,0.22787541294279653,2025-01-01
2025-02,0.28279184853634165,2025-02-01
2025-03,0.2619802658852579,2025-03-01
2025-04,0.29563744577155876,2025-04-01
2025-05,0.19138946800186432,2025-05-01
2025-06,0.1793860555372997,2025-06-01
2025-07,0.24781189596080844,2025-07-01
2025-08,0.28134633991275154,2025-08-01
2025-09,0.2663272973913435,2025-09-01
2025-10,0.2712404427993336,2025-10-01
2025-11,0.28416157969852046,2025-11-01
2025-12,0.26759699116525165,2025-12-01
2026-01,0.46427898606809703,2026-01-01
