bloc,batch,registre_conflictuel_moyen,n
Centre / Majorite,CEASEFIRE_BREACH,0.553030303030303,132
Centre / Majorite,CHOC,0.543010752688172,372
Centre / Majorite,MANDATS_CPI,0.5833333333333334,6
Centre / Majorite,NEW_OFFENSIVE,0.5238663484486874,419
Centre / Majorite,POST_CIJ,0.5398773006134969,163
Centre / Majorite,POST_SINWAR,0.5166666666666667,30
Centre / Majorite,RAFAH,0.5544554455445545,303
Droite,CEASEFIRE_BREACH,0.5256410256410257,117
Droite,CHOC,0.541371158392435,423
Droite,MANDATS_CPI,0.5,15
Droite,NEW_OFFENSIVE,0.5335731414868106,417
Droite,POST_CIJ,0.5224358974358975,156
Droite,POST_SINWAR,0.5581395348837209,43
Droite,RAFAH,0.5347985347985348,273
Gauche moderee,CEASEFIRE_BREACH,0.5677966101694916,59
Gauche moderee,CHOC,0.575967261904762,224
Gauche moderee,MANDATS_CPI,0.55,10
Gauche moderee,NEW_OFFENSIVE,0.5485611510791367,278
Gauche moderee,POST_CIJ,0.5528169014084507,142
Gauche moderee,POST_SINWAR,0.5131578947368421,38
Gauche moderee,RAFAH,0.5552631578947368,190
Gauche radicale,CEASEFIRE_BREACH,0.5575620767494357,443
Gauche radicale,CHOC,0.5621693121693122,1134
Gauche radicale,MANDATS_CPI,0.5533980582524272,103
Gauche radicale,NEW_OFFENSIVE,0.5498631074606434,2435
Gauche radicale,POST_CIJ,0.5465116279069767,817
Gauche radicale,POST_SINWAR,0.5574162679425837,209
Gauche radicale,RAFAH,0.5601631543167913,1471
