author_norm,month,bloc,stance_tw,n_tweets,engagement_mean,stance_an,n_an,delta,month_ts
Adrien Quatennens,2023-10,Gauche radicale,1.1666666666666667,6,931.6666666666666,-1.0,2,2.166666666666667,2023-10-01
Alexandre Sabatou,2024-04,Droite,-1.0,1,93.0,0.0,1,-1.0,2024-04-01
Alma Dufour,2023-12,Gauche radicale,1.5,4,489.5,1.6666666666666667,3,-0.16666666666666674,2023-12-01
Alma Dufour,2024-05,Gauche radicale,1.7619047619047619,21,393.1904761904762,2.0,6,-0.23809523809523814,2024-05-01
Alma Dufour,2025-01,Gauche radicale,1.0,4,651.5,2.0,3,-1.0,2025-01-01
Alma Dufour,2025-06,Gauche radicale,1.5666666666666667,30,575.4666666666667,1.8,5,-0.2333333333333334,2025-06-01
Amélia Lakrafi,2024-10,Centre / Majorite,0.3333333333333333,6,7.5,-1.0,1,1.3333333333333333,2024-10-01
Antoine Léaument,2023-10,Gauche radicale,1.2142857142857142,14,893.3571428571429,0.0,2,1.2142857142857142,2023-10-01
Antoine Léaument,2024-05,Gauche radicale,1.75,8,887.25,1.0,1,0.75,2024-05-01
Antoine Léaument,2024-10,Gauche radicale,2.0,1,891.0,-2.0,1,4.0,2024-10-01
Antoine Léaument,2025-03,Gauche radicale,2.0,1,624.0,1.0,1,1.0,2025-03-01
Antoine Léaument,2025-10,Gauche radicale,1.0,1,913.0,1.0,1,0.0,2025-10-01
Aurore Bergé,2024-11,Centre / Majorite,-1.0,2,718.0,-2.0,1,1.0,2024-11-01
Aurore Bergé,2025-01,Centre / Majorite,-1.0,4,826.75,-1.3333333333333333,3,0.33333333333333326,2025-01-01
Aurore Bergé,2025-02,Centre / Majorite,-1.0,7,585.2857142857143,-1.0,1,0.0,2025-02-01
Aurore Bergé,2025-03,Centre / Majorite,-1.0,2,1037.5,-1.1666666666666667,6,0.16666666666666674,2025-03-01
Aurore Bergé,2025-05,Centre / Majorite,-1.0,1,1534.0,-1.25,8,0.25,2025-05-01
Aurore Bergé,2025-07,Centre / Majorite,-1.0,2,782.5,-1.3333333333333333,6,0.33333333333333326,2025-07-01
Aurélien Saintoul,2023-10,Gauche radicale,1.5,4,289.0,0.0,1,1.5,2023-10-01
Aurélien Saintoul,2025-06,Gauche radicale,1.5,16,638.5,0.5,2,1.0,2025-06-01
Ayda Hadizadeh,2025-05,Gauche moderee,0.6666666666666666,3,78.66666666666667,2.0,1,-1.3333333333333335,2025-05-01
