month,Gauche radicale,Gauche moderee,Centre / Majorite,Droite,month_ts
2023-10,645,153,255,300,2023-10-01
2023-11,332,55,107,107,2023-11-01
2023-12,157,16,10,16,2023-12-01
2024-01,226,30,64,32,2024-01-01
2024-02,225,55,65,32,2024-02-01
2024-03,243,44,47,73,2024-03-01
2024-04,349,43,51,51,2024-04-01
2024-05,608,92,104,63,2024-05-01
2024-06,126,24,52,25,2024-06-01
2024-07,163,14,27,40,2024-07-01
2024-08,99,16,35,34,2024-08-01
2024-09,225,21,15,19,2024-09-01
2024-10,250,23,70,92,2024-10-01
2024-11,209,38,30,43,2024-11-01
2024-12,103,10,6,15,2024-12-01
2025-01,218,29,41,31,2025-01-01
2025-02,74,12,44,45,2025-02-01
2025-03,151,18,47,41,2025-03-01
2025-04,230,14,26,24,2025-04-01
2025-05,309,50,122,74,2025-05-01
2025-06,548,57,116,101,2025-06-01
2025-07,347,35,31,77,2025-07-01
2025-08,127,20,14,22,2025-08-01
2025-09,343,57,21,47,2025-09-01
2025-10,260,10,57,40,2025-10-01
2025-11,101,19,10,17,2025-11-01
2025-12,97,15,14,11,2025-12-01
2026-01,73,1,8,4,2026-01-01
