ID;SOURCE;AUTEUR;GROUPE;DATE;PERIODE;TEXTE;MOTS_CLES;STANCE;INTENSITE;CIBLE;CADRAGE;NOTES
0001;Assemblee;M. Jean-Noël Barrot;MODEM;2025-01-14;P6_mandats_cpi;tout d abord je vous remercie d etre alle sur place et d avoir rencontre les responsables et le personnel de l unrwa je partage en tout point votre diagnostic personne ne peut en effet remplacer l unrwa pour les raisons que vous avez rappelees a savoir qu elle fournit des services essentiels aux populations a gaza services que d autres organisations ne seraient pas capables de fournir en outre et contrairement a ce qui a pu etre dit par les autorites israeliennes elle sert aussi de plateforme pour les activites des autres organisations non gouvernementales qui apportent des biens et des services absolument essentiels a la survie des populations sur place c est pourquoi la france n a cesse de soutenir l unrwa budgetairement et moralement en depit des accusations portees a son encontre et qu...;israelien, israel, israeliens, gaza, israeliennes, israelienne, droit international, unrwa, nations unies;;;;;
0002;Assemblee;Mme la présidente;Pr?sidence;2024-03-28;P3_post_cij;l ordre du jour appelle la discussion en application de l article 34 1 de la constitution de la proposition de resolution de mme sabrina sebaihi et plusieurs de ses collegues relative a la reconnaissance et a la condamnation du massacre des algeriens du 17 octobre 1961 a paris no 2243;7 octobre, massacre;;;;;
0003;Twitter;a_saintoul;LFI-NFP;2023-12-30;P2_offensive;"2 enfants seulement ! Quelle sinistre dérision ! 
La #France doit agir concrètement pour un #cessezlefeu à #Gaza.";gaza;;;;;
0004;Twitter;segoleneamiot;LFI-NFP;2025-09-16;P7_cessez_feu;"L'offensive de Netanyahou à commencé sur Gaza City. 

Le massacre monte encore d'un cran. La France ne peut plus se cacher les yeux devant le génocide. 

Il faut faire pression sur le gouvernement d'Israël : reconnaissance immédiate de l'état de Palestine, sanctions économiques, suspension de l'accord d'association avec l'Union Européenne, expulsion des ambassadeurs. Et que l'aide humanitaire, enfin, rentre à Gaza.

Rendez-vous ce soir à 17h30 place de la République.";israel, palestine, gaza, netanyahou, genocide, aide humanitaire, massacre;;;;;
0005;Assemblee;Mme Bérangère Couillard;inconnu;2023-11-28;P2_offensive;ce qui s est passe en israel est abominable des femmes ont ete violees mutilees torturees le viol est une arme de guerre laissant de nombreuses femmes et filles psychologiquement traumatisees souvent la violence sexuelle n est pas simplement perpetree par des soldats solitaires elle s apparente a une tactique de guerre deliberee la violence sexuelle deplace terrorise detruit des individus des familles et des communautes entieres atteignant des niveaux de cruaute inimaginable a l egard de femmes de tout age ces horreurs qu elles aient eu lieu en israel ou de nombreux cas de viol le 7 octobre dernier ont ete rapportes en ukraine au soudan ou dans le reste du monde je les ai condamnees et je les condamne a nouveau fermement ici applaudissements sur plusieurs bancs des groupes re lr dem et hor;israel, 7 octobre;;;;;
0006;Twitter;arnaultraphael;LFI-NFP;2025-01-11;P6_mandats_cpi;"Non ces gens-là n’ont pas « tout perdu ». Ils ont plusieurs villas, des fois à travers le monde, et des fortunes immenses.

Propos d’autant plus outrancier à l’heure où des familles à Mayotte n’ont plus rien ou pire encore qu’un génocide à Gaza se déroule sans presqu’aucun émoi.";gaza, genocide;;;;;
0007;Assemblee;M. François Bayrou;EPR;2025-06-25;P7_cessez_feu;qui a immediatement profite de ce crime pour semer plus de haine et de guerre encore des le 8 octobre ceux qui forment ce que la republique islamique d iran appelle l axe de la resistance ont decide d exploiter cette faiblesse soudaine d israel pour se lancer a l assaut de l ennemi designe le hezbollah au liban les milices armees chiites en syrie et en irak les houthistes au yemen et dans le golfe persique ont pris le relais du hamas en palestine les repliques du seisme ont continue ainsi jusqu en avril 2024 quand israel a engage l acte suivant d un conflit qui en realite dure depuis des decennies a damas ou la republique islamique d iran n a jamais interrompu sa presence israel a frappe plusieurs de ceux qui actionnent leurs auxiliaires dans la region des haut grades de l armee et des gar...;israel, palestine, hamas, 7 octobre;;;;;
0008;Assemblee;M. David Taupiac;LIOT;2023-11-14;P2_offensive;permettre aux consommateurs de continuer a remplir correctement le caddie quotidien doit inviter a des mesures fortes face a une inflation qui devore le pouvoir d achat il y a urgence lorsque l on sait qu en trois ans la part de l alimentaire dans le budget des menages est passee en moyenne de 13 a 19 et qu un tiers des francais n a plus les moyens de manger trois repas par jour en matiere de baisse des prix il n y a pas de solutions faciles mais vous pechez par manque de volonte pour le pouvoir d achat vous faites beaucoup d annonces mais la plupart sont abandonnees en chemin ou n ont aucun effet dois je vous rappeler la fausse bonne idee de la vente a perte du carburant ou celle de la vente a prix coutant ou le trimestre anti inflation qui n aura servi qu a moderer quelques hausses de pr...;israel;;;;;
0009;Twitter;elsafaucillon;GDR;2024-10-29;P5_escalade;"Projection émouvante du film « No Other Land », qui documente les expulsions à Masafer Yatta, en Cisjordanie, en présence des réalisateurs Basel Adra et Yuval Abraham.

Le film sort en salle le 13 novembre. Allez le voir et soutenez ce témoignage puissant sur les conséquences des démolitions, de la colonisation et de la violence quotidienne subies par les Palestinien·nes.

Merci à @SabrinaSebaihi de nous avoir proposé d’organiser cette projection ensemble.";palestinien, cisjordanie, colonisation;;;;;
0010;Twitter;brunomillienne;MODEM;2023-01-24;P0_pre_7oct;"Vous voulez vraiment qu'on parle de vos milliers d'affiches illégales qui ont pourri nos territoires pendant la dernière campagne ? 
Vous reconnaissez ? Une de ces photos vient de votre circo d'ailleurs ! 🤡
Vous connaissez l'adage : quand le singe monte au cocotier...";illegal, illegale;;;;;
0011;Twitter;arenasrodrigo_;inconnu;2025-05-29;P7_cessez_feu;LFI est pour une solution à 2 Etats ce qui implique l’existence de l’Etat d’Israël. Vous m’accorderez qu’avec le gouvernement Netanyahou, que je condamne, nous sommes loin de l’idéal porté par Yitzhak Rabin et Yasser Arafat que j’ai soutenu en leur temps. Je ne désespère pas.;israel, netanyahou;;;;;
0012;Assemblee;Mme la présidente;Pr?sidence;2023-10-10;P1_choc;horreur sideration angoisse le monde est aujourd hui en etat de choc devant la violence de l attaque terroriste qui a frappe israel face a cette barbarie je veux redire ici qu israel est un pays ami a qui je reaffirme au nom de la representation nationale notre totale solidarite et notre soutien inconditionnel applaudissements prolonges sur les bancs des groupes re rn lr dem soc hor ecolo nupes gdr nupes et liot ainsi que sur quelques bancs du groupe lfi nupes de nombreux deputes des groupes rn et lr huent leurs collegues qui n applaudissent pas tous les deputes se levent les deputes des groupes re rn lr dem soc hor ecolo nupes gdr nupes et liot applaudissent longuement a l heure ou nous parlons les combats se poursuivent et le nombre de victimes ne cesse de s alourdir nous pleurons egalem...;israel, civils, otage, otages;;;;;
0013;Twitter;louisboyard;LFI-NFP;2024-09-24;P4_rafah;"🇵🇸🇱🇧 Le secrétaire général de l'ONU alerte : « Le Liban ne doit pas devenir « un autre Gaza ».

Depuis la semaine dernière, le gouvernement israélien multiplie les attaques et les bombardements au Liban.

Le bilan s'élève déjà à plus de 500 morts, dont des dizaines d'enfants. 

Pourquoi ce déchainement de violence ? 

Parce que la guerre génocidaire de Netanyahou à Gaza s’embourbe. Là-bas, il ne reste plus que des ruines peuplées par des Palestiniens qui manquent de tout.

Netanyahou a donc beso...";palestiniens, israelien, israel, gaza, netanyahou, palestinien, gouvernement israelien, droit international, bombardement, onu, genocide, bombardements;;;;;
0014;Twitter;matthiasrn;RN;2025-01-28;P7_cessez_feu;"Philippe Carli, patron du groupe de presse Ebra, a démissionné.

Sa faute ?

Avoir ""liké"", sur LinkedIn, des posts de Marion Maréchal et Sarah Knafo.

La police politique de Médiapart a eu sa peau.

Ce pouvoir trotskyste, de pure soumission, est illégitime et scandaleux.";illegitime, legitime;;;;;
