ID;SOURCE;AUTEUR;GROUPE;DATE;PERIODE;CONTEXTE;URL;TEXTE;MOTS_CLES;HORS_SUJET;STANCE;INTENSITE;CIBLE;CADRAGE;NOTES
0001;Assemblee;M. Jean-Noël Barrot;MODEM;2025-01-14;P6_mandats_cpi;;;tout d abord je vous remercie d etre alle sur place et d avoir rencontre les responsables et le personnel de l unrwa je partage en tout point votre diagnostic personne ne peut en effet remplacer l unrwa pour les raisons que vous avez rappelees a savoir qu elle fournit des services essentiels aux populations a gaza services que d autres organisations ne seraient pas capables de fournir en outre et contrairement a ce qui a pu etre dit par les autorites israeliennes elle sert aussi de plateforme pour les activites des autres organisations non gouvernementales qui apportent des biens et des services absolument essentiels a la survie des populations sur place c est pourquoi la france n a cesse de soutenir l unrwa budgetairement et moralement en depit des accusations portees a son encontre et qui ont atteint sa credibilite au sein de la communaute internationale de nombreux bailleurs se sont longuement interroges sur l opportunite de renouveler leur financement a cette agence indispensable ce n est pas notre cas puisque nous avons facilite la mission de catherine colonna destinee a faire la lumiere sur d eventuels manquements et a proposer des solutions pour y mettre fin ce qui a permis de consolider la credibilite de l agence nous l avons egalement soutenue sur le plan budgetaire je dispose d un chiffre legerement plus eleve que le votre puisque le soutien de la france a atteint selon le ministere 41 millions d euros ce qui fait de notre pays l un de ses principaux donateurs lorsque je me suis rendu au caire le 2 decembre pour participer a une conference humanitaire internationale pour la population civile de gaza j ai annonce une nouvelle contribution de 50 millions d euros pour la population de gaza en 2025 dont 20 millions pour l unrwa tres concretement que faisons nous la france proteste au niveau bilateral c est a dire qu elle s adresse a ses interlocuteurs israeliens en faisant appel non seulement a ce qu elle attend d eux en termes d integrite et de sens du devoir inherents au respect du droit international mais aussi a leur intelligence si c est une violation du droit international que d entraver le travail de l unrwa c est aussi contraire aux interets d israel parce que cela cree une situation catastrophique qui pourrait constituer une bombe a retardement la france proteste egalement au niveau multilateral dans les instances ou elle est presente c est le cas au sein de l union europeenne ou nous avons pu agreger les soutiens a l unrwa mais aussi aux nations unies par exemple lors de la semaine de haut niveau de l assemblee generale qui s est tenue a la fin du mois de septembre nous etions evidemment presents a la reunion initiee par la jordanie en soutien a l unrwa pour rappeler que sur le plan moral comme sur le plan budgetaire nous continuerions d etre aux cotes de l agence;israelien, israel, israeliens, gaza, israeliennes, israelienne, droit international, unrwa, nations unies;;;;;;
0002;Assemblee;Mme la présidente;Pr?sidence;2024-03-28;P3_post_cij;;;l ordre du jour appelle la discussion en application de l article 34 1 de la constitution de la proposition de resolution de mme sabrina sebaihi et plusieurs de ses collegues relative a la reconnaissance et a la condamnation du massacre des algeriens du 17 octobre 1961 a paris no 2243;7 octobre, massacre;;;;;;
0003;Twitter;a_saintoul;LFI-NFP;2023-12-30;P2_offensive;;/A_Saintoul/status/1741030495578935547#m;"2 enfants seulement ! Quelle sinistre dérision ! 
La #France doit agir concrètement pour un #cessezlefeu à #Gaza.";gaza;;;;;;
0004;Twitter;segoleneamiot;LFI-NFP;2025-09-16;P7_cessez_feu;;/SegoleneAmiot/status/1967943806608650404#m;"L'offensive de Netanyahou à commencé sur Gaza City. 

Le massacre monte encore d'un cran. La France ne peut plus se cacher les yeux devant le génocide. 

Il faut faire pression sur le gouvernement d'Israël : reconnaissance immédiate de l'état de Palestine, sanctions économiques, suspension de l'accord d'association avec l'Union Européenne, expulsion des ambassadeurs. Et que l'aide humanitaire, enfin, rentre à Gaza.

Rendez-vous ce soir à 17h30 place de la République.";israel, palestine, gaza, netanyahou, genocide, aide humanitaire, massacre;;;;;;
0005;Assemblee;Mme Bérangère Couillard;inconnu;2023-11-28;P2_offensive;;;ce qui s est passe en israel est abominable des femmes ont ete violees mutilees torturees le viol est une arme de guerre laissant de nombreuses femmes et filles psychologiquement traumatisees souvent la violence sexuelle n est pas simplement perpetree par des soldats solitaires elle s apparente a une tactique de guerre deliberee la violence sexuelle deplace terrorise detruit des individus des familles et des communautes entieres atteignant des niveaux de cruaute inimaginable a l egard de femmes de tout age ces horreurs qu elles aient eu lieu en israel ou de nombreux cas de viol le 7 octobre dernier ont ete rapportes en ukraine au soudan ou dans le reste du monde je les ai condamnees et je les condamne a nouveau fermement ici applaudissements sur plusieurs bancs des groupes re lr dem et hor;israel, 7 octobre;;;;;;
0006;Twitter;arnaultraphael;LFI-NFP;2025-01-11;P6_mandats_cpi;;/ArnaultRaphael/status/1878048061840130066#m;"Non ces gens-là n’ont pas « tout perdu ». Ils ont plusieurs villas, des fois à travers le monde, et des fortunes immenses.

Propos d’autant plus outrancier à l’heure où des familles à Mayotte n’ont plus rien ou pire encore qu’un génocide à Gaza se déroule sans presqu’aucun émoi.";gaza, genocide;;;;;;
0007;Assemblee;M. François Bayrou;EPR;2025-06-25;P7_cessez_feu;;;qui a immediatement profite de ce crime pour semer plus de haine et de guerre encore des le 8 octobre ceux qui forment ce que la republique islamique d iran appelle l axe de la resistance ont decide d exploiter cette faiblesse soudaine d israel pour se lancer a l assaut de l ennemi designe le hezbollah au liban les milices armees chiites en syrie et en irak les houthistes au yemen et dans le golfe persique ont pris le relais du hamas en palestine les repliques du seisme ont continue ainsi jusqu en avril 2024 quand israel a engage l acte suivant d un conflit qui en realite dure depuis des decennies a damas ou la republique islamique d iran n a jamais interrompu sa presence israel a frappe plusieurs de ceux qui actionnent leurs auxiliaires dans la region des haut grades de l armee et des gardiens de la revolution en septembre israel a decime l encadrement du hezbollah au moyen de bipeurs et de talkies walkies pieges enfin ces derniers jours un an et demi apres le 7 octobre cette guerre a connu un episode decisif avec la campagne intensive de frappes menees par israel contre le programme nucleaire et balistique iranien;israel, palestine, hamas, 7 octobre;;;;;;
0008;Assemblee;M. David Taupiac;LIOT;2023-11-14;P2_offensive;;;permettre aux consommateurs de continuer a remplir correctement le caddie quotidien doit inviter a des mesures fortes face a une inflation qui devore le pouvoir d achat il y a urgence lorsque l on sait qu en trois ans la part de l alimentaire dans le budget des menages est passee en moyenne de 13 a 19 et qu un tiers des francais n a plus les moyens de manger trois repas par jour en matiere de baisse des prix il n y a pas de solutions faciles mais vous pechez par manque de volonte pour le pouvoir d achat vous faites beaucoup d annonces mais la plupart sont abandonnees en chemin ou n ont aucun effet dois je vous rappeler la fausse bonne idee de la vente a perte du carburant ou celle de la vente a prix coutant ou le trimestre anti inflation qui n aura servi qu a moderer quelques hausses de prix sans que le consommateur en ressente l effet sur son panier ces deux ans d inflation se sont traduits par deux ans d incantations gouvernementales ce texte en est le dernier exemple qui fait figure d ultime supplique au monde economique en avancant la date d echeance des negociations commerciales vous esperez que la baisse des cours de certaines matieres premieres se traduira par une diminution des prix dans les rayons vous renvoyez ainsi a la grande distribution la responsabilite de peser a la baisse sur les prix des l origine nous etions sceptiques quant a ce projet de loi nous le sommes toujours meme si nous reconnaissons que le travail legislatif a permis de limiter certains effets de bord ainsi le senat a recule la date butoir de fin des negociations pour les pme et les eti c est une bonne chose la date du 31 decembre 2023 trop proche exposait ces entreprises a des amendes pouvant atteindre 1 million d euros en cas de non respect de la date limite reste qu en decalant de deux semaines les negociations des grands groupes ce ne sont plus six mais seulement quatre semaines que vous entendez gagner sur l inflation un autre apport senatorial a ete de clarifier le seuil du chiffre d affaires pertinent en france et a l international cela evitera que des multinationales puissent negocier aux cotes des pme et des eti et prennent leur place dans les rayons des magasins en depit de ces ameliorations notre opinion sur le projet de loi n a pas varie nous y voyons toujours un facteur de complexification des relations commerciales au resultat incertain par ailleurs certains parmi ceux industriels ou distributeurs qui militaient pour l avancement de ces negociations commerciales se disent desormais moins optimistes ce ne sont plus des baisses de prix qui sont promises par la grande distribution mais une hausse de 1 ou de 2 ce que nous craignions risque de se produire l avancee des dates ne pesera pas lourd face aux facteurs dont vous ne tenez pas compte d abord les matieres premieres agricoles ne connaissent pas toutes une baisse pour le lait l huile d olive le cacao ou le sucre il faut plutot s attendre a des hausses dans les prochaines semaines de meme le cout de certaines matieres premieres industrielles connait encore aujourd hui une augmentation l augmentation des salaires notamment du smic qui a rencheri de pres de 10 depuis le debut de l annee 2022 devrait aussi se traduire dans les prix enfin les evenements en israel ont conduit a une augmentation du prix du gaz de plus de 26 en quelques jours ce projet de loi restera donc comme une enieme promesse de celles que vous faites aux francais sans pouvoir les tenir ce pari sans garantie de resultat pour les consommateurs les contraindra a attendre des jours meilleurs or nous ne pouvons cautionner un manque de volonte politique sur la question du pouvoir d achat c est pourquoi le groupe liot s abstiendra applaudissements sur les bancs du groupe liot;israel;;;;;;
0009;Twitter;elsafaucillon;GDR;2024-10-29;P5_escalade;;/ElsaFaucillon/status/1851364943058313377#m;"Projection émouvante du film « No Other Land », qui documente les expulsions à Masafer Yatta, en Cisjordanie, en présence des réalisateurs Basel Adra et Yuval Abraham.

Le film sort en salle le 13 novembre. Allez le voir et soutenez ce témoignage puissant sur les conséquences des démolitions, de la colonisation et de la violence quotidienne subies par les Palestinien·nes.

Merci à @SabrinaSebaihi de nous avoir proposé d’organiser cette projection ensemble.";palestinien, cisjordanie, colonisation;;;;;;
0010;Twitter;brunomillienne;MODEM;2023-01-24;P0_pre_7oct;;/BrunoMillienne/status/1617930149646995456#m;"Vous voulez vraiment qu'on parle de vos milliers d'affiches illégales qui ont pourri nos territoires pendant la dernière campagne ? 
Vous reconnaissez ? Une de ces photos vient de votre circo d'ailleurs ! 🤡
Vous connaissez l'adage : quand le singe monte au cocotier...";illegal, illegale;;;;;;
