id,source,depute_name,date,period,groupe_politique,text,keyword_matches,stance,intensity,target,frame,confidence,notes
1,assemblee_nationale,Mme Mathilde Panot,2025-05-20,P7_cessez_feu,LFI-NFP,vingt mois de genocide 53 000 palestiniens 20 000 enfants des centaines de journalistes et de soignants tous methodiquement assassines dimanche netanyahou a lance l offensive dans la bande de gaza,"['palestiniens' 'gaza' 'netanyahou' 'palestinien' 'bande de gaza'
 'genocide']",,,,,,
2,assemblee_nationale,M. Aymeric Caron,2025-04-08,P7_cessez_feu,LFI-NFP,les complices sont ceux qui se rendent en israel pour soutenir le gouvernement fasciste de netanyahou et encourager son armee applaudissements sur les bancs du groupe lfi nfp les complices sont ceux qui repandent la propagande du groupe de lobbying de l extreme droite israelienne elnet les complices sont ceux qui menent des campagnes de diffamation contre la rapporteuse speciale des nations unies sur la situation des droits de l homme dans les territoires palestiniens les complices sont ceux qui recoivent a paris des ministres d un etat desormais voyou ceux qui sont incapables de la moindre sanction de la moindre reprimande s il y a tant de complices ici c est parce que la vie des enfants palestiniens a pour vous moins de valeur que la vie des autres enfants danss le monde applaudissements sur les bancs du groupe lfi nfp,"['palestiniens' 'israelien' 'israel' 'netanyahou' 'palestinien'
 'israelienne' 'nations unies' 'territoires palestiniens']",,,,,,
3,assemblee_nationale,Mme Mathilde Panot,2025-06-11,P7_cessez_feu,LFI-NFP,monsieur le premier ministre ou etes vous ou est la france mourir de faim ou mourir d une balle avez vous vu les images insoutenables des palestiniens abattus par l armee israelienne alors qu ils venaient juste chercher de l aide alimentaire ou etes vous que dites vous combien de crimes encore allez vous laisser commettre avant de prendre enfin des sanctions contre l extreme droite de netanyahou applaudissements sur les bancs du groupe lfi nfp m edouard benard applaudit egalement ou etes vous que faites vous la flottille de la liberte elle a vogue pour briser le blocus de l aide humanitaire des clowns et autres exclamations sur les bancs du groupe rn c est la fierte de la france que l equipage compte six de nos concitoyens dont une representante du peuple francais applaudissements sur les bancs du groupe lfi nfp mm stephane peu et alexis corbiere applaudissent egalement,"['palestiniens' 'israelien' 'israel' 'netanyahou' 'palestinien'
 'israelienne' 'armee israelienne' 'blocus' 'aide humanitaire']",,,,,,
4,assemblee_nationale,M. Aurélien Saintoul,2025-06-25,P7_cessez_feu,LFI-NFP,extraordinaire et ce qui se passe en israel c est la faute de la russie,['israel'],,,,,,
5,assemblee_nationale,M. Sébastien Delogu,2025-05-28,P7_cessez_feu,LFI-NFP,il y a un an jour pour jour je brandissais le drapeau palestinien dans cet hemicycle applaudissements sur les bancs du groupe lfi nfp comme beaucoup d autres francais j ai ete sanctionne intimide menace et meme moque je vous ai vus vous moquer car je trebuchais sur des mots mais moi au moins mes valeurs n ont pas titube ah vous qui etes si instruits si intelligents cette belle societe si parfaite si mesuree qu avez vous fait face a l horreur a part tenter de faire taire celles et ceux qui denoncaient le genocide memes mouvements apres vingt mois d images abominables d enfants demembres par des bombes d enfants ecrases sous des decombres ou brules dans des brasiers geants vingt mois durant lesquels l appareil d etat a deploye une repression sans precedent nous pensons a celles et ceux qui ont brave la censure pour continuer a faire vivre les principes de notre republique memes mouvements comme cette enseignante suspendue pour une seule minute de silence en hommage aux enfants morts en palestine depuis vingt mois l horreur est relativisee niee ou silenciee et pourtant la terrible verite eclate aux yeux de tous beaucoup retournent leur veste non par souci d humanite envers le peuple palestinien mais pour rehabiliter leur petite personne et faire oublier leur complicite politique et morale avec ce genocide memes mouvements m benjamin lucas lundy applaudit aussi mais peu importe au fond l hypocrisie de celles et ceux qui ont depense leur energie a nous faire passer pour des antisemites,['palestine' 'palestinien' 'antisemite' 'genocide'],,,,,,
6,assemblee_nationale,M. Jérôme Legavre,2025-10-28,P7_cessez_feu,LFI-NFP,ils s appelaient zyed benna et bouna traore oh sur plusieurs bancs du groupe rn ils avaient 17 et 15 ans ils avaient la vie devant eux le 27 octobre 2005 ils rentrent d un match de foot pris en chasse par une patrouille de la brigade anticriminalite effrayes ils se refugient dans l enceinte d un poste edf et meurent electrocutes c etait il y a vingt ans et nous n oublions pas nous pensons a leur famille et leurs proches endeuilles a jamais applaudissements sur les bancs des groupes lfi nfp soc et ecos vingt ans apres qu est ce qui a change il y a eu adama nahel wanys killian et tant d autres que disent ces noms ces visages tous renvoient a cette realite en vingt ans le nombre de deces imputables directement ou indirectement a l intervention des forces de police a plus que double a trois reprises l onu a designe la france comme le pays europeen ayant le plus grand nombre de personnes tuees ou blessees par des agents de la force publique en vingt ans 162 personnes ont ete tuees a la suite d un controle de police ou d une tentative de controle pour le defenseur des droits les jeunes noirs ou arabes ont quatre fois plus de risque d etre controles et douze fois plus de subir un controle pousse en vingt ans la france a connu une escalade de mesures repressives sous le quinquennat de francois hollande il y a eu la loi de mars 2017 qui donne un permis de tuer applaudissements sur les bancs du groupe lfi nfp exclamations sur plusieurs bancs du groupe rn en vingt ans a clichy sous bois qu est ce qui a change 42 de la population vit en dessous du seuil de pauvrete la ville est la plus pauvre de seine saint denis la realite ne se decoupe pas en tranches la violence d etat le racisme alimente au plus haut niveau de l etat sont inseparables de vos politiques de regression sociale et d exploitation memes mouvements nous n accepterons jamais que des vies valent moins que d autres tout doit changer pour commencer la loi permis de tuer de bernard cazeneuve doit etre abrogee les controles discriminatoires au facies doivent etre interdits les deputes du groupe lfi nfp se levent et applaudissent,['7 octobre' 'onu'],,,,,,
7,assemblee_nationale,Mme Mathilde Panot,2025-05-20,P7_cessez_feu,LFI-NFP,aucun la france doit cesser d etre complice du genocide palestinien quand agirez vous quand arreterez vous de regarder gaza mourir les deputes du groupe lfi nfp se levent et applaudissent longuement,['gaza' 'palestinien' 'genocide'],,,,,,
8,assemblee_nationale,M. Thomas Portes (LFI-NFP),2025-06-11,P7_cessez_feu,LFI-NFP,oqtf quatre lettres qui sonnent comme une sentence quatre lettres brandies pour flatter l extreme droite par tous les locataires successifs de la place beauvau quatre lettres devenues le cauchemar quotidien de milliers de familles quatre lettres symbolisant les realites personnelles effacees au nom d une politique migratoire purement comptable les oqtf sont devenues un outil punitif aux mains de l administration un levier de communication au service d un programme politique le resultat est clair une course aux chiffres dans les prefectures sans discernement ni humanite la france delivre autant d oqtf que la grece l italie et l espagne reunies en 2024 140 000 oqtf ont ete prononcees pour 20 000 retours effectifs entre 2019 et 2022 leur nombre a bondi de 60 cette situation a ete aggravee par votre circulaire du 23 janvier 2025 qui prolonge la brutalite de la loi darmanin de 2024 la 117e reforme migratoire depuis 1945 la quatrieme sous emmanuel macron cette loi est une reforme de plus toujours dans le meme sens plus d expulsions moins de droits cette circulaire calibree pour les plateaux de cnews impose aux prefets de prononcer systematiquement une oqtf a chaque refus de titre de sejour les elements d appreciation de la situation individuelle ancrage familial scolarisation des enfants conjoint francais situations de vulnerabilite sont ecartes la procedure devient mecanique aveugle inhumaine ne tentez pas de justifier cette politique au nom de la securite les chiffres sont clairs et vous contredisent entre 2019 et 2022 93 des oqtf visaient des personnes n ayant aucun passe judiciaire la cour des comptes elle meme tire la sonnette d alarme face a cette grave derive elle denonce dans son rapport de janvier 2024 la systematisation des oqtf devenue un enjeu de communication administrative elle revele aussi une realite inquietante des prefectures debordees comme celle de seine saint denis incapables de mener une analyse qualitative des situations et qui prononcent des oqtf a l encontre de personnes pourtant inserees dans la societe cela conduit a des situations indignes d un etat de droit dans ma circonscription en seine saint denis une oqtf a ete delivree a une mere d un enfant de 6 ans ne en france plongeant dans l anxiete cette femme censee pourtant etre protegee par son statut de parent d un mineur ne sur notre sol je pense aussi a ce militant kurde rescape de la tuerie raciste de la rue d enghien vise par une oqtf alors qu il est le seul temoin oculaire du drame et qu il est appele a s exprimer devant la cour d assises en 2026 l eloigner c est faire obstacle a la justice francaise et le renvoyer dans un pays ou il risque la prison pour son engagement politique enfin je pense a shama menacee d expulsion vers gaza alors qu elle avait rejoint son frere franco palestinien a aix en provence pour l accompagner dans ses soins quotidiens expulser des personnes vers une terre devastee par un genocide en cours ou l aide humanitaire est elle meme entravee voila le resultat absurde de la politique que vous menez vous allez jusqu a utiliser l oqtf comme un outil de tension diplomatique agitant le chiffon rouge devant nos amis algeriens au mepris des binationaux au detriment des liens familiaux qui unissent des millions de francais et d algeriens sachez monsieur le ministre que nous avons honte pour vous honte de votre politique qui criminalise les etrangers honte de l administration numerique pour les etrangers en france anef et de la dematerialisation des demarches qui provoque des ruptures de droits massives et systematiques comme l a denonce la defenseure des droits honte aussi des politiques europeennes que vous soutenez et de leurs terribles consequences une crise de l accueil faite de barbeles de murs et de mers transformees en cimetieres ou les cadavres s accumulent quel est le resultat de cette politique l augmentation du nombre d oqtf pour rassurer vos electeurs et remporter un congres pour surfer de concert avec vos amis d extreme droite sur un amalgame honteux et infonde entre immigration et insecurite en 2022 le mot oqtf apparaissait 5 598 fois sur les radios et les plateaux tele or 70 de ces occurrences se concentraient sur une seule chaine cnews celle de votre ami vincent bollore celui la meme qui soutient le commerce du bois servant au financement des guerres civiles qui contraignent des milliers de personnes a l exil voila ou nous insoumis appelons a regarder vers les causes profondes des migrations guerres imperialistes crises climatiques et capitalisme predateur tant que ces causes seront niees votre politique restera ce qu elle est une machine a exclure a briser a faire mal vos pratiques de fichage et de harcelement administratif les propos islamophobes et racistes que vous encouragez dans l espace public vos politiques discriminatoires tout cela alimente la haine nos concitoyens l ont paye de leur vie en particulier hichem miraoui assassine par un homme qui se revendiquait soutien du rassemblement national nous humanistes et antiracistes sommes fiers de defendre un autre horizon celui de la creolisation qui est la rencontre des humanites et des alterites au sein de cultures et de modes de vie communs jamais nous ne cederons aux divisions et aux haines racistes jamais nous n encouragerons comme l extreme droite la division du peuple au contraire nous revendiquons l unite du peuple pour mettre un coup d arret a vos politiques monsieur le ministre sachez que vous nous trouverez toujours sur votre chemin chaque fois que vous menacerez celles et ceux qui sont aujourd hui cette nouvelle france,['gaza' 'palestinien' 'islamophobe' 'genocide' 'aide humanitaire'],,,,,,
9,assemblee_nationale,M. Aurélien Saintoul (LFI-NFP),2025-01-15,P7_cessez_feu,LFI-NFP,on nous invite a discuter du theme suivant apres l election de trump concretiser la souverainete europeenne une remarque d abord quant au libelle du sujet il n y a pas et il n y aura pas ni virtuellement ni reellement ni a court ni a moyen terme de souverainete europeenne attendu que selon l article 3 de la constitution la souverainete nationale appartient au peuple a la rigueur on peut chercher les indices d une volonte de la part des etats europeens de se rendre moins dependants des etats unis ce serait deja beaucoup et je souhaite bon courage a qui entreprendrait cette quete puisque tout montre que la tutelle de ce puissant protecteur n est guere remise en question sur le vieux continent certes le retour de donald trump au pouvoir ne permet plus vraiment de faire semblant notre allie si bienveillant et altruiste ne l est peut etre pas tant que ca et cherche avant tout a garantir ses interets et sa position de numero un mondial mais a vrai dire donald trump ne fait que radicaliser les fondamentaux de la politique etrangere etats unienne l imperialisme ne varie pas et ce serait une naivete coupable d imaginer que les gouvernements europeens s associeront desormais pour le contrecarrer la premiere presidence de donald trump avait deja suscite ce genre d esperances a l epoque la pologne avait tout bonnement propose 2 milliards d euros hors cout de fonctionnement pour heberger une base americaine sur son territoire et aujourd hui voyez comment l intimidation et les provocations s empilent et sont recompensees en 2019 donald trump pretendait acheter le groenland voila qu il menace de l annexer le premier ministre danois lui repond benoitement que les americains n ont pas besoin d aller si loin que cela et qu ils pourront bien y installer des bases militaires quasi ministre elon musk couvre d opprobre le premier ministre britannique dont le ministre des affaires etrangeres se refuse a condamner son plus proche allie donald trump veut il reprendre le controle du canal de panama silence poli dans la salle envisage t il l annexion du canada on proteste mais c est le premier ministre canadien qui tombe il y a moins de deux ans la revue nationale strategique rns evoquait les puissances dites revisionnistes qui remettent en cause l ordre et le droit international le texte visait la russie et la chine quelle amere ironie de voir desormais les etats unis fournir les armes qui servent au genocide a gaza et tout prets a bafouer encore une fois le principe d intangibilite des frontieres le chantage au financement de l otan reprend comme jamais recemment une ribambelle de membres de think tanks affirmaient devant l assemblee parlementaire de l otan qu il faudrait investir dans la defense 3 voire 3 5 du pib moyennant quoi tout irait pour le mieux ils etaient loin du compte donald trump reclame 5 et le nouveau secretaire general de l otan le neerlandais mark rutte de lui emboiter le pas les recalcitrants n ont pas de plan b et devraient se soumettre sans quoi ils devront consacrer 10 de leur pib a leur defense ils paieront donc ce tribut combien de fois les pays europeens se sont ils humilies dans l espoir de conserver les bonnes graces des etats unis ou de gagner une position plus forte sur le continent aujourd hui que l union europeenne s ingere dans la defense des nations en contravention flagrante avec les traites la negociation autour du programme europeen pour l industrie de la defense edip fournit une enieme lecon de choses laissera t on l argent de l union europeenne financer des entreprises d armement etats uniennes le suspense est a son comble le ministre des armees a affirme que la france ne lacherait rien a la bonne heure on peut aisement en deduire que c est la france qui sera lachee par les autres pays les francais savent au moins depuis la crise de suez que dans les relations internationales il n y a pas d amis que des interets mais depuis quinze ans tout ce qui contribue a la souverainete francaise est considere comme la manifestation d un particularisme chauvin une sorte d irredentisme poussiereux renoncement apres renoncement la voix de la france s eteint et nos marges de manoeuvre se restreignent on sacrifie au mirage de la defense europeenne les fleurons de notre industrie pour avoir un char franco allemand nous perdrons bientot la capacite de faire un char tout court c est une tout autre voie qu il faut emprunter celle du non alignement elle seule permettra a la france de plaider pour la paix et l interet general humain le monde a besoin de cette france independante qui refuse d etre embrigadee dans la guerre qui se prepare entre les etats unis et la chine le monde a besoin d une france qui lorsqu elle plaide pour le droit international n est pas sans cesse renvoyee a ses allegeances a ses dependances et aux doubles standards qu elles imposent a l heure des cyclones des incendies meurtriers de la course aux armements le monde a besoin d une france capable de construire avec celles et ceux qui ne se resignent pas au desastre un chemin de cooperation et de paix pour substituer cette logique a celle de la competition universelle du capitalisme fauteur de guerres nous affirmons que la france doit disposer des moyens de son independance consolider sa base industrielle et technologique de defense affronter les multinationales relocaliser l industrie au lieu de la laisser depecer comme c est le cas avec le groupe atos investir dans la recherche et l enseignement superieur reconstituer un corps diplomatique fort rendre la parole aux citoyens dans les debats sur la defense le mot est galvaude et pourtant il n a jamais ete si vrai nous sommes a la croisee des chemins les moyens d un sursaut sont la il faut une volonte sans quoi ce sera le declin applaudissements sur les bancs du groupe lfi nfp,['gaza' 'crif' 'droit international' 'annexion' 'genocide'],,,,,,
10,assemblee_nationale,M. Louis Boyard,2025-05-07,P7_cessez_feu,LFI-NFP,meme lui ne s arroge pas autant de pouvoirs pour reprimer les mobilisations des etudiants opposes a ce qui se passe a gaza applaudissements sur quelques bancs du groupe lfi nfp exclamations sur les bancs du groupe rn c est le ministre qui par decret decidera qui a la competence de reunir la section disciplinaire a l echelle de l academie et qui en fait partie cette section ne sera pas competente uniquement sur des faits de racisme et d antisemitisme mais aussi sur des faits susceptibles de porter atteinte a l ordre et au bon fonctionnement de l etablissement y compris commis en dehors de l etablissement il suffira d un decret du ministre pour choisir qui convoque et qui compose cette section sur laquelle l universite n aura pas son mot a dire et qui pourra juger des faits extremement flous y compris ceux intervenus a l exterieur de l etablissement meme donald trump ne s octroie pas de tels pouvoirs pour reprimer les etudiants exclamations sur plusieurs bancs des groupes rn epr dr et hor,['gaza' 'antisemitisme'],,,,,,
