month,bloc,pct_ceasefire,n,month_ts
2023-10,Centre / Majorite,3.1372549019607843,255,2023-10-01
2023-10,Droite,2.666666666666667,300,2023-10-01
2023-10,Gauche moderee,27.450980392156865,153,2023-10-01
2023-10,Gauche radicale,26.51162790697674,645,2023-10-01
2023-11,Centre / Majorite,6.5420560747663545,107,2023-11-01
2023-11,Droite,1.8691588785046727,107,2023-11-01
2023-11,Gauche moderee,32.72727272727273,55,2023-11-01
2023-11,Gauche radicale,34.036144578313255,332,2023-11-01
2023-12,Centre / Majorite,30.0,10,2023-12-01
2023-12,Droite,0.0,16,2023-12-01
2023-12,Gauche moderee,18.75,16,2023-12-01
2023-12,Gauche radicale,14.64968152866242,157,2023-12-01
2024-01,Centre / Majorite,4.6875,64,2024-01-01
2024-01,Droite,0.0,32,2024-01-01
2024-01,Gauche moderee,40.0,30,2024-01-01
2024-01,Gauche radicale,21.238938053097346,226,2024-01-01
2024-02,Centre / Majorite,6.153846153846154,65,2024-02-01
2024-02,Droite,3.125,32,2024-02-01
2024-02,Gauche moderee,29.09090909090909,55,2024-02-01
2024-02,Gauche radicale,24.444444444444443,225,2024-02-01
2024-03,Centre / Majorite,4.25531914893617,47,2024-03-01
2024-03,Droite,0.0,73,2024-03-01
2024-03,Gauche moderee,29.545454545454547,44,2024-03-01
2024-03,Gauche radicale,24.691358024691358,243,2024-03-01
2024-04,Centre / Majorite,7.8431372549019605,51,2024-04-01
2024-04,Droite,1.9607843137254901,51,2024-04-01
2024-04,Gauche moderee,20.930232558139537,43,2024-04-01
2024-04,Gauche radicale,19.484240687679083,349,2024-04-01
2024-05,Centre / Majorite,14.423076923076922,104,2024-05-01
2024-05,Droite,3.1746031746031744,63,2024-05-01
2024-05,Gauche moderee,9.782608695652174,92,2024-05-01
2024-05,Gauche radicale,10.69078947368421,608,2024-05-01
2024-06,Centre / Majorite,3.8461538461538463,52,2024-06-01
2024-06,Droite,0.0,25,2024-06-01
2024-06,Gauche moderee,16.666666666666664,24,2024-06-01
2024-06,Gauche radicale,15.873015873015872,126,2024-06-01
2024-07,Centre / Majorite,7.4074074074074066,27,2024-07-01
2024-07,Droite,0.0,40,2024-07-01
2024-07,Gauche moderee,14.285714285714285,14,2024-07-01
2024-07,Gauche radicale,12.883435582822086,163,2024-07-01
2024-08,Centre / Majorite,2.857142857142857,35,2024-08-01
2024-08,Droite,0.0,34,2024-08-01
2024-08,Gauche moderee,12.5,16,2024-08-01
2024-08,Gauche radicale,3.0303030303030303,99,2024-08-01
2024-09,Centre / Majorite,13.333333333333334,15,2024-09-01
2024-09,Droite,0.0,19,2024-09-01
2024-09,Gauche moderee,9.523809523809524,21,2024-09-01
2024-09,Gauche radicale,10.666666666666668,225,2024-09-01
2024-10,Centre / Majorite,15.714285714285714,70,2024-10-01
2024-10,Droite,3.260869565217391,92,2024-10-01
2024-10,Gauche moderee,8.695652173913043,23,2024-10-01
2024-10,Gauche radicale,15.6,250,2024-10-01
2024-11,Centre / Majorite,3.3333333333333335,30,2024-11-01
2024-11,Droite,6.976744186046512,43,2024-11-01
2024-11,Gauche moderee,2.631578947368421,38,2024-11-01
2024-11,Gauche radicale,7.655502392344498,209,2024-11-01
2024-12,Centre / Majorite,16.666666666666664,6,2024-12-01
2024-12,Droite,13.333333333333334,15,2024-12-01
2024-12,Gauche moderee,10.0,10,2024-12-01
2024-12,Gauche radicale,2.912621359223301,103,2024-12-01
2025-01,Centre / Majorite,29.268292682926827,41,2025-01-01
2025-01,Droite,0.0,31,2025-01-01
2025-01,Gauche moderee,27.586206896551722,29,2025-01-01
2025-01,Gauche radicale,25.688073394495415,218,2025-01-01
2025-02,Centre / Majorite,2.272727272727273,44,2025-02-01
2025-02,Droite,0.0,45,2025-02-01
2025-02,Gauche moderee,0.0,12,2025-02-01
2025-02,Gauche radicale,1.3513513513513513,74,2025-02-01
2025-03,Centre / Majorite,10.638297872340425,47,2025-03-01
2025-03,Droite,0.0,41,2025-03-01
2025-03,Gauche moderee,16.666666666666664,18,2025-03-01
2025-03,Gauche radicale,19.205298013245034,151,2025-03-01
2025-04,Centre / Majorite,11.538461538461538,26,2025-04-01
