month,bloc1,bloc2,pair,cosine_dist,month_ts
2023-10,Gauche radicale,Gauche moderee,Gauche radicale ↔ Gauche moderee,0.6463575635427405,2023-10-01
2023-10,Gauche radicale,Centre / Majorite,Gauche radicale ↔ Centre / Majorite,0.6629240359417277,2023-10-01
2023-10,Gauche radicale,Droite,Gauche radicale ↔ Droite,0.6902662348414097,2023-10-01
2023-10,Gauche moderee,Centre / Majorite,Gauche moderee ↔ Centre / Majorite,0.6787412089246926,2023-10-01
2023-10,Gauche moderee,Droite,Gauche moderee ↔ Droite,0.7078100542878101,2023-10-01
2023-10,Centre / Majorite,Droite,Centre / Majorite ↔ Droite,0.6416136354867616,2023-10-01
2023-11,Gauche radicale,Gauche moderee,Gauche radicale ↔ Gauche moderee,0.8234485301664116,2023-11-01
2023-11,Gauche radicale,Centre / Majorite,Gauche radicale ↔ Centre / Majorite,0.8422415681131478,2023-11-01
2023-11,Gauche radicale,Droite,Gauche radicale ↔ Droite,0.8508915850066141,2023-11-01
2023-11,Gauche moderee,Centre / Majorite,Gauche moderee ↔ Centre / Majorite,0.8658560586176642,2023-11-01
2023-11,Gauche moderee,Droite,Gauche moderee ↔ Droite,0.883519193293965,2023-11-01
2023-11,Centre / Majorite,Droite,Centre / Majorite ↔ Droite,0.8110965615805357,2023-11-01
2023-12,Gauche radicale,Gauche moderee,Gauche radicale ↔ Gauche moderee,0.8491806624681023,2023-12-01
2023-12,Gauche radicale,Centre / Majorite,Gauche radicale ↔ Centre / Majorite,0.8858028007955089,2023-12-01
2023-12,Gauche radicale,Droite,Gauche radicale ↔ Droite,0.8958089015585216,2023-12-01
2023-12,Gauche moderee,Centre / Majorite,Gauche moderee ↔ Centre / Majorite,0.9067716236835345,2023-12-01
2023-12,Gauche moderee,Droite,Gauche moderee ↔ Droite,0.9311153882485701,2023-12-01
2023-12,Centre / Majorite,Droite,Centre / Majorite ↔ Droite,0.9301176797929664,2023-12-01
2024-01,Gauche radicale,Gauche moderee,Gauche radicale ↔ Gauche moderee,0.8177754840626437,2024-01-01
2024-01,Gauche radicale,Centre / Majorite,Gauche radicale ↔ Centre / Majorite,0.8372626217486405,2024-01-01
2024-01,Gauche radicale,Droite,Gauche radicale ↔ Droite,0.8909466079067798,2024-01-01
2024-01,Gauche moderee,Centre / Majorite,Gauche moderee ↔ Centre / Majorite,0.8675584686529191,2024-01-01
2024-01,Gauche moderee,Droite,Gauche moderee ↔ Droite,0.9087876300239158,2024-01-01
2024-01,Centre / Majorite,Droite,Centre / Majorite ↔ Droite,0.8394426982558192,2024-01-01
2024-02,Gauche radicale,Gauche moderee,Gauche radicale ↔ Gauche moderee,0.7979866231045952,2024-02-01
2024-02,Gauche radicale,Centre / Majorite,Gauche radicale ↔ Centre / Majorite,0.8368078541027766,2024-02-01
2024-02,Gauche radicale,Droite,Gauche radicale ↔ Droite,0.8921713521536765,2024-02-01
2024-02,Gauche moderee,Centre / Majorite,Gauche moderee ↔ Centre / Majorite,0.8714824737641288,2024-02-01
2024-02,Gauche moderee,Droite,Gauche moderee ↔ Droite,0.9126786369286067,2024-02-01
2024-02,Centre / Majorite,Droite,Centre / Majorite ↔ Droite,0.8385409861627342,2024-02-01
2024-03,Gauche radicale,Gauche moderee,Gauche radicale ↔ Gauche moderee,0.7902557439764152,2024-03-01
2024-03,Gauche radicale,Centre / Majorite,Gauche radicale ↔ Centre / Majorite,0.8414755022117963,2024-03-01
2024-03,Gauche radicale,Droite,Gauche radicale ↔ Droite,0.8575883149153054,2024-03-01
