date,stance_mean,n
2023-10-01,-1.4466666666666668,300
2023-11-01,-1.1869158878504673,107
2023-12-01,-1.125,16
2024-01-01,-1.375,32
2024-02-01,-1.375,32
2024-03-01,-1.6164383561643836,73
2024-04-01,-1.2941176470588236,51
2024-05-01,-1.5238095238095237,63
2024-06-01,-1.56,25
2024-07-01,-1.65,40
2024-08-01,-1.411764705882353,34
2024-09-01,-1.263157894736842,19
2024-10-01,-1.065217391304348,92
2024-11-01,-1.2093023255813953,43
2024-12-01,-0.6,15
2025-01-01,-0.9032258064516129,31
2025-02-01,-1.6,45
2025-03-01,-1.3902439024390243,41
2025-04-01,-1.5416666666666667,24
2025-05-01,-1.5,74
2025-06-01,-1.386138613861386,101
2025-07-01,-1.4935064935064934,77
2025-08-01,-1.7272727272727273,22
2025-09-01,-1.2765957446808511,47
2025-10-01,-1.1,40
2025-11-01,-1.4705882352941178,17
2025-12-01,-1.4545454545454546,11
2026-01-01,-2.0,4
