bloc,register,pct
Gauche radicale,indignation,63.66
Gauche radicale,solidarity,12.47
Gauche radicale,neutral,11.38
Gauche radicale,grief,7.36
Gauche radicale,anger,4.13
Gauche radicale,defiance,0.84
Gauche radicale,fear,0.17
Gauche moderee,indignation,37.14
Gauche moderee,neutral,29.89
Gauche moderee,grief,17.75
Gauche moderee,solidarity,13.41
Gauche moderee,anger,1.09
Gauche moderee,fear,0.54
Gauche moderee,defiance,0.18
Centre / Majorite,neutral,43.95
Centre / Majorite,indignation,26.72
Centre / Majorite,grief,10.91
Centre / Majorite,defiance,9.38
Centre / Majorite,solidarity,5.45
Centre / Majorite,fear,3.27
Centre / Majorite,defense,0.22
Centre / Majorite,anger,0.11
Droite,defiance,41.18
Droite,indignation,36.47
Droite,neutral,11.53
Droite,fear,3.76
Droite,grief,2.94
Droite,solidarity,2.59
Droite,anger,1.53
