event,date,bloc,variable,n_avant,n_apres,mean_avant,mean_apres,delta,p_mannwhitney,sig
Ordonnance CIJ,2024-01-26,Gauche radicale,stance_v3,84,152,1.6429,1.5658,-0.0771,0.8709,
Ordonnance CIJ,2024-01-26,Gauche moderee,stance_v3,17,28,1.1176,1.25,0.1324,0.4752,
Ordonnance CIJ,2024-01-26,Centre / Majorite,stance_v3,47,38,-0.617,-1.0526,-0.4356,0.0179,*
Ordonnance CIJ,2024-01-26,Droite,stance_v3,18,29,-1.5,-1.2759,0.2241,0.3194,
Ordonnance CIJ,2024-01-26,Gauche radicale,ceasefire_lexical,84,152,17.8571,26.3158,8.4586,0.1423,
Ordonnance CIJ,2024-01-26,Gauche moderee,ceasefire_lexical,17,28,29.4118,46.4286,17.0168,0.2699,
Ordonnance CIJ,2024-01-26,Centre / Majorite,ceasefire_lexical,47,38,6.383,5.2632,-1.1198,0.8368,
Ordonnance CIJ,2024-01-26,Droite,ceasefire_lexical,18,29,0.0,3.4483,3.4483,0.4568,
Offensive Rafah,2024-05-28,Gauche radicale,stance_v3,280,299,1.6214,1.8261,0.2047,0.0009,**
Offensive Rafah,2024-05-28,Gauche moderee,stance_v3,34,58,1.2353,1.3103,0.0751,0.7337,
Offensive Rafah,2024-05-28,Centre / Majorite,stance_v3,43,50,-0.8837,-0.48,0.4037,0.0075,**
Offensive Rafah,2024-05-28,Droite,stance_v3,16,43,-1.25,-1.6744,-0.4244,0.1382,
Offensive Rafah,2024-05-28,Gauche radicale,ceasefire_lexical,280,299,10.7143,10.0334,-0.6808,0.7888,
Offensive Rafah,2024-05-28,Gauche moderee,ceasefire_lexical,34,58,14.7059,10.3448,-4.3611,0.5407,
Offensive Rafah,2024-05-28,Centre / Majorite,ceasefire_lexical,43,50,2.3256,22.0,19.6744,0.0051,**
Offensive Rafah,2024-05-28,Droite,ceasefire_lexical,16,43,6.25,2.3256,-3.9244,0.4795,
Mort Sinwar,2024-10-16,Gauche radicale,stance_v3,101,121,1.6436,1.7686,0.125,0.0646,
Mort Sinwar,2024-10-16,Gauche moderee,stance_v3,15,4,1.2,1.5,0.3,0.6195,
Mort Sinwar,2024-10-16,Centre / Majorite,stance_v3,42,25,-0.9048,-0.96,-0.0552,0.6397,
Mort Sinwar,2024-10-16,Droite,stance_v3,46,29,-1.2826,-1.3103,-0.0277,0.7579,
Mort Sinwar,2024-10-16,Gauche radicale,ceasefire_lexical,101,121,30.6931,5.7851,-24.9079,0.0,**
Mort Sinwar,2024-10-16,Gauche moderee,ceasefire_lexical,15,4,13.3333,0.0,-13.3333,0.5108,
Mort Sinwar,2024-10-16,Centre / Majorite,ceasefire_lexical,42,25,16.6667,16.0,-0.6667,0.9517,
Mort Sinwar,2024-10-16,Droite,ceasefire_lexical,46,29,2.1739,0.0,-2.1739,0.4433,
Mandats CPI,2024-11-21,Gauche radicale,stance_v3,76,132,1.6711,1.5909,-0.0801,0.6057,
Mandats CPI,2024-11-21,Gauche moderee,stance_v3,17,21,1.1176,1.1429,0.0252,0.9132,
Mandats CPI,2024-11-21,Centre / Majorite,stance_v3,17,11,-0.9412,-0.9091,0.0321,0.5814,
Mandats CPI,2024-11-21,Droite,stance_v3,17,28,-1.3529,-0.9643,0.3887,0.3571,
Mandats CPI,2024-11-21,Gauche radicale,ceasefire_lexical,76,132,5.2632,9.0909,3.8278,0.3209,
Mandats CPI,2024-11-21,Gauche moderee,ceasefire_lexical,17,21,0.0,4.7619,4.7619,0.3971,
Mandats CPI,2024-11-21,Centre / Majorite,ceasefire_lexical,17,11,0.0,18.1818,18.1818,0.0821,
Mandats CPI,2024-11-21,Droite,ceasefire_lexical,17,28,0.0,14.2857,14.2857,0.1117,
Cessez-le-feu,2025-01-19,Gauche radicale,stance_v3,78,136,1.4359,1.5294,0.0935,0.1726,
Cessez-le-feu,2025-01-19,Gauche moderee,stance_v3,22,7,1.0455,0.2857,-0.7597,0.1348,
Cessez-le-feu,2025-01-19,Centre / Majorite,stance_v3,26,17,-0.1538,-0.8235,-0.6697,0.0049,**
Cessez-le-feu,2025-01-19,Droite,stance_v3,11,21,-0.1818,-1.2857,-1.1039,0.045,*
Cessez-le-feu,2025-01-19,Gauche radicale,ceasefire_lexical,78,136,26.9231,25.7353,-1.1878,0.8506,
Cessez-le-feu,2025-01-19,Gauche moderee,ceasefire_lexical,22,7,31.8182,14.2857,-17.5325,0.3924,
Cessez-le-feu,2025-01-19,Centre / Majorite,ceasefire_lexical,26,17,34.6154,17.6471,-16.9683,0.2369,
Cessez-le-feu,2025-01-19,Droite,ceasefire_lexical,11,21,0.0,0.0,0.0,1.0,
Rupture CLF,2025-03-15,Gauche radicale,stance_v3,23,103,1.3913,1.4757,0.0844,0.2539,
Rupture CLF,2025-03-15,Gauche moderee,stance_v3,5,13,1.2,1.0,-0.2,0.7675,
Rupture CLF,2025-03-15,Centre / Majorite,stance_v3,10,36,0.0,-0.9167,-0.9167,0.0048,**
Rupture CLF,2025-03-15,Droite,stance_v3,13,28,-1.2308,-1.4643,-0.2335,0.9,
Rupture CLF,2025-03-15,Gauche radicale,ceasefire_lexical,23,103,17.3913,23.301,5.9097,0.5422,
Rupture CLF,2025-03-15,Gauche moderee,ceasefire_lexical,5,13,20.0,15.3846,-4.6154,0.8788,
Rupture CLF,2025-03-15,Centre / Majorite,ceasefire_lexical,10,36,30.0,5.5556,-24.4444,0.0317,*
Rupture CLF,2025-03-15,Droite,ceasefire_lexical,13,28,0.0,0.0,0.0,1.0,
