author,bloc,group,stance_mean,stance_range,n_textes,n_months
Alma Dufour,Gauche radicale,LFI-NFP,1.6787003610108304,4,277,26
Aurélien Saintoul,Gauche radicale,LFI-NFP,1.4615384615384615,4,78,18
Aurélien Taché,Gauche radicale,LFI-NFP,1.616,4,125,26
Ayda Hadizadeh,Gauche moderee,PS-NFP,0.2222222222222222,4,18,7
Aymeric Caron,Gauche radicale,LFI-NFP,1.608805031446541,4,795,28
Carlos Martens Bilongo,Gauche radicale,LFI,1.2916666666666667,4,96,23
Caroline Yadan,Centre / Majorite,EPR,-1.2352941176470589,4,221,27
Danièle Obono,Gauche radicale,LFI-NFP,1.7729257641921397,4,229,26
Edwige Diaz,Droite,RN,-1.44,4,25,13
Emmanuel Fernandes,Gauche radicale,LFI-NFP,1.5,4,120,26
Ersilia Soudais,Gauche radicale,LFI-NFP,1.6111111111111112,4,72,14
Gabrielle Cathala,Gauche radicale,LFI-NFP,1.7603305785123966,4,121,19
Hadrien Clouet,Gauche radicale,LFI-NFP,1.2761194029850746,4,134,24
Jean-François Coulomme,Gauche radicale,LFI-NFP,1.4913793103448276,4,232,27
Jérôme Guedj,Gauche moderee,PS-NFP,0.022727272727272728,4,44,18
Jérôme Legavre,Gauche radicale,LFI-NFP,1.6953405017921146,4,279,27
M. Antoine Léaument,Gauche radicale,LFI,0.3333333333333333,4,15,4
M. Louis Boyard,Gauche radicale,LFI-NFP,0.9090909090909091,4,22,3
M. Sébastien Delogu,Gauche radicale,LFI,1.2857142857142858,4,14,4
M. Thomas Portes,Gauche radicale,LFI,0.9090909090909091,4,11,3
