month,bloc,stance_mean,stance_std,n,month_ts,se,ci95_lo,ci95_hi
2023-10,Centre / Majorite,-0.8980392156862745,0.8903441332549062,255,2023-10-01,0.05575551236693756,-1.0073200199254722,-0.7887584114470769
2023-10,Droite,-1.4466666666666668,0.6546634016452539,300,2023-10-01,0.03779700911684834,-1.5207488045356896,-1.372584528797644
2023-10,Gauche moderee,0.6470588235294118,0.9965109410977654,153,2023-10-01,0.08056313465156364,0.48915507961234705,0.8049625674464765
2023-10,Gauche radicale,1.2651162790697674,1.0012919575649597,645,2023-10-01,0.039425832327349704,1.187841647708162,1.342390910431373
2023-11,Centre / Majorite,-0.8130841121495327,0.7539936579671138,107,2023-11-01,0.07289131816658245,-0.9559510957560343,-0.6702171285430311
2023-11,Droite,-1.1869158878504673,0.7664035234671948,107,2023-11-01,0.07409102514689016,-1.332134297138372,-1.0416974785625626
2023-11,Gauche moderee,0.6545454545454545,0.966440238197238,55,2023-11-01,0.13031477513430414,0.39912849528221844,0.9099624138086906
2023-11,Gauche radicale,1.3734939759036144,0.8650423858220688,332,2023-11-01,0.0474753686697378,1.2804422533109283,1.4665456984963006
2023-12,Centre / Majorite,-0.2,0.9189365834726815,10,2023-12-01,0.29059326290271154,-0.7695627952893147,0.3695627952893146
2023-12,Droite,-1.125,0.6191391873668903,16,2023-12-01,0.15478479684172258,-1.4283782018097764,-0.8216217981902237
2023-12,Gauche moderee,0.875,1.02469507659596,16,2023-12-01,0.25617376914899,0.37289941246797964,1.3771005875320204
2023-12,Gauche radicale,1.4904458598726114,0.9648823124390611,157,2023-12-01,0.0770059918612405,1.33951411582458,1.6413776039206427
2024-01,Centre / Majorite,-0.8125,0.888640838405787,64,2024-01-01,0.11108010480072338,-1.0302170054094177,-0.5947829945905821
2024-01,Droite,-1.375,0.6599120175960898,32,2024-01-01,0.11665706565717282,-1.6036478486880588,-1.1463521513119412
2024-01,Gauche moderee,1.2666666666666666,0.6914918072835208,30,2024-01-01,0.12624855372639981,1.019219501362923,1.5141138319704102
2024-01,Gauche radicale,1.7300884955752212,0.668448945046461,226,2024-01-01,0.04446456241015112,1.6429379532513249,1.8172390378991174
2024-02,Centre / Majorite,-0.8615384615384616,1.0289090563085963,65,2024-02-01,0.12762046171566968,-1.1116745665011742,-0.611402356575749
2024-02,Droite,-1.375,0.6599120175960898,32,2024-02-01,0.11665706565717282,-1.6036478486880588,-1.1463521513119412
2024-02,Gauche moderee,1.1818181818181819,0.8408749651825218,55,2024-02-01,0.11338355717496794,0.9595864097552447,1.404049953881119
2024-02,Gauche radicale,1.5644444444444445,0.7174967507254562,225,2024-02-01,0.04783311671503041,1.4706915356829848,1.6581973532059042
2024-03,Centre / Majorite,-0.7872340425531915,1.0821912193959302,47,2024-03-01,0.1578538130162835,-1.096627516065107,-0.47784056904127586
2024-03,Droite,-1.6164383561643836,0.5683831108773323,73,2024-03-01,0.06652421134398845,-1.746825810398601,-1.4860509019301662
2024-03,Gauche moderee,1.3863636363636365,0.5376914084676802,44,2024-03-01,0.08106002976750087,1.2274859780193348,1.5452412947079381
2024-03,Gauche radicale,1.4938271604938271,0.9107728548565536,243,2024-03-01,0.05842610588022613,1.379311992968584,1.6083423280190703
2024-04,Centre / Majorite,-0.8823529411764706,0.8401680504168058,51,2024-04-01,0.11764705882352938,-1.112941176470588,-0.651764705882353
2024-04,Droite,-1.2941176470588236,0.807319457143424,51,2024-04-01,0.11304733572862409,-1.5156904250869268,-1.0725448690307204
