bloc,target_primary,n,pct
Centre / Majorite,ALMA_DUFOUR,1,0.11
Centre / Majorite,ANTI-ZIONISM,1,0.11
Centre / Majorite,ANTISEMITISM,11,1.2
Centre / Majorite,ANTISEMITISME,1,0.11
Centre / Majorite,ANTISIONISM,1,0.11
Centre / Majorite,ANTISIONISME,7,0.76
Centre / Majorite,ANTISÉMITISME,1,0.11
Centre / Majorite,ANTI_SEMITISM,3,0.33
Centre / Majorite,ARABIE_SAOUDITE,1,0.11
Centre / Majorite,AURORE_BERGE,1,0.11
Centre / Majorite,BOYARD,2,0.22
Centre / Majorite,CARONAYMERICO,1,0.11
Centre / Majorite,CIVILIANS_GAZA,1,0.11
Centre / Majorite,CIVILS_GAZA,1,0.11
Centre / Majorite,COLLECTIF_PALESTINE_VAINS,1,0.11
Centre / Majorite,COMMUNAUTES_RELIQUEUSES,1,0.11
Centre / Majorite,COMMUNAUTE_INTERNATIONALE,1,0.11
Centre / Majorite,COMMUNAUTE_JEUNE,1,0.11
Centre / Majorite,CPI,1,0.11
Centre / Majorite,CRITICS_OF_ISRAEL,1,0.11
Centre / Majorite,CRITIQUES_ISRAEL,2,0.22
Centre / Majorite,CaronAymericoff,1,0.11
Centre / Majorite,DANIELE_OBONO,1,0.11
Centre / Majorite,DAVID_GUIRAUD,2,0.22
Centre / Majorite,DJIHAD,1,0.11
Centre / Majorite,DOMINIQUE_DE_VILLEPIN,1,0.11
Centre / Majorite,EELV,1,0.11
Centre / Majorite,EMMANUEL_MACRON,2,0.22
Centre / Majorite,ERSILIASOUDAIS,1,0.11
Centre / Majorite,ERSILIA_SOUDais,1,0.11
Centre / Majorite,ETATS_UNIS,1,0.11
Centre / Majorite,EU,2,0.22
Centre / Majorite,EUROPEAN_UNION,1,0.11
Centre / Majorite,EXTREME_GAUCHE,2,0.22
Centre / Majorite,FAMILLES_OTAGES,2,0.22
Centre / Majorite,FIDH,1,0.11
Centre / Majorite,FRANCAIS,1,0.11
Centre / Majorite,FRANCAIS_JUIFS,1,0.11
Centre / Majorite,FRANCE,1,0.11
Centre / Majorite,FRANCESCA_ALBANESE,2,0.22
Centre / Majorite,FRANCESCO_ALBANESE,1,0.11
Centre / Majorite,FRANCE_GOV,19,2.07
Centre / Majorite,FRANCE_INSOUMISE,4,0.44
