author,bloc,group,stance_mean,stance_std,stance_min,stance_max,n_textes,n_months,first_month,last_month,stance_range,is_mover
Adrien Quatennens,Gauche radicale,LFI,1.6842105263157894,0.774780288224563,-1,2,38,9,2023-10-24 21:48:00,2025-06-08 20:26:00,3,True
Agnès Firmin Le Bodo,Centre / Majorite,HOR,-1.1428571428571428,0.6900655593423543,-2,0,7,6,2023-10-09 20:06:00,2025-10-13 10:46:00,2,True
Alexandre Portier,Droite,LR,-2.0,0.0,-2,-2,2,2,2023-10-20 19:33:00,2024-01-04 21:08:00,0,False
Alexandre Sabatou,Droite,RN,-1.5,0.5773502691896257,-2,-1,4,3,2024-04-29 16:13:00,2024-10-07 09:05:00,1,False
Alexis Jolly,Droite,RN,-1.8,0.4216370213557839,-2,-1,10,10,2024-04-15 06:10:00,2025-11-24 11:52:00,1,False
Alma Dufour,Gauche radicale,LFI-NFP,1.6787003610108304,0.7764755288144599,-2,2,277,26,2023-10-12 10:53:00,2025-12-14 13:43:00,4,True
Amélia Lakrafi,Centre / Majorite,EPR,0.3225806451612903,0.9087389347953037,-1,2,31,13,2023-11-20 05:47:00,2025-08-19 23:13:00,3,True
Anne Sicard,Droite,RN,-1.6666666666666667,0.5773502691896258,-2,-1,3,3,2024-11-23 13:19:00,2025-10-07 09:07:00,1,False
Anne-Cécile Violland,Centre / Majorite,HOR,-1.3333333333333333,0.5773502691896257,-2,-1,3,3,2023-10-09 22:12:00,2025-10-13 13:56:00,1,False
Antoine Léaument,Gauche radicale,LFI-NFP,1.4307692307692308,0.9180351090990265,-1,2,65,18,2023-10-22 20:05:00,2026-01-05 20:23:00,3,True
Antoine Villedieu,Droite,RN,-1.5384615384615385,0.5188745216627708,-2,-1,13,9,2023-10-07 20:08:00,2025-07-24 20:26:00,1,False
Arthur Delaporte,Gauche moderee,PS-NFP,0.5,0.9459053029269173,-1,2,20,13,2023-10-08 16:15:00,2026-01-01 15:07:00,3,True
Aurore Bergé,Centre / Majorite,REN,-0.9833333333333333,0.7917298517752696,-2,1,60,21,2023-10-07 08:45:00,2026-01-05 08:38:00,3,True
Aurélien Lopez-Liguori,Droite,RN,-1.0,,-1,-1,1,1,2023-11-25 18:02:00,2023-11-25 18:02:00,0,False
Aurélien Saintoul,Gauche radicale,LFI-NFP,1.4615384615384615,0.7506241159439012,-2,2,78,18,2023-10-25 20:06:00,2026-01-03 15:05:00,4,True
Aurélien Taché,Gauche radicale,LFI-NFP,1.616,0.7806531591165885,-2,2,125,26,2023-10-29 17:12:00,2026-01-05 22:48:00,4,True
Ayda Hadizadeh,Gauche moderee,PS-NFP,0.2222222222222222,1.262842524557225,-2,2,18,7,2025-01-30 17:07:00,2025-12-18 17:07:00,4,True
