month,bloc,n_textes,month_ts
2023-10,Centre / Majorite,255,2023-10-01
2023-10,Droite,300,2023-10-01
2023-10,Gauche moderee,153,2023-10-01
2023-10,Gauche radicale,645,2023-10-01
2023-11,Centre / Majorite,107,2023-11-01
2023-11,Droite,107,2023-11-01
2023-11,Gauche moderee,55,2023-11-01
2023-11,Gauche radicale,332,2023-11-01
2023-12,Centre / Majorite,10,2023-12-01
2023-12,Droite,16,2023-12-01
2023-12,Gauche moderee,16,2023-12-01
2023-12,Gauche radicale,157,2023-12-01
2024-01,Centre / Majorite,64,2024-01-01
2024-01,Droite,32,2024-01-01
2024-01,Gauche moderee,30,2024-01-01
2024-01,Gauche radicale,226,2024-01-01
2024-02,Centre / Majorite,65,2024-02-01
2024-02,Droite,32,2024-02-01
2024-02,Gauche moderee,55,2024-02-01
2024-02,Gauche radicale,225,2024-02-01
2024-03,Centre / Majorite,47,2024-03-01
2024-03,Droite,73,2024-03-01
2024-03,Gauche moderee,44,2024-03-01
2024-03,Gauche radicale,243,2024-03-01
2024-04,Centre / Majorite,51,2024-04-01
2024-04,Droite,51,2024-04-01
2024-04,Gauche moderee,43,2024-04-01
2024-04,Gauche radicale,349,2024-04-01
2024-05,Centre / Majorite,104,2024-05-01
2024-05,Droite,63,2024-05-01
2024-05,Gauche moderee,92,2024-05-01
2024-05,Gauche radicale,608,2024-05-01
2024-06,Centre / Majorite,52,2024-06-01
2024-06,Droite,25,2024-06-01
2024-06,Gauche moderee,24,2024-06-01
2024-06,Gauche radicale,126,2024-06-01
2024-07,Centre / Majorite,27,2024-07-01
2024-07,Droite,40,2024-07-01
2024-07,Gauche moderee,14,2024-07-01
2024-07,Gauche radicale,163,2024-07-01
2024-08,Centre / Majorite,35,2024-08-01
2024-08,Droite,34,2024-08-01
2024-08,Gauche moderee,16,2024-08-01
2024-08,Gauche radicale,99,2024-08-01
2024-09,Centre / Majorite,15,2024-09-01
2024-09,Droite,19,2024-09-01
2024-09,Gauche moderee,21,2024-09-01
2024-09,Gauche radicale,225,2024-09-01
2024-10,Centre / Majorite,70,2024-10-01
2024-10,Droite,92,2024-10-01
2024-10,Gauche moderee,23,2024-10-01
2024-10,Gauche radicale,250,2024-10-01
2024-11,Centre / Majorite,30,2024-11-01
2024-11,Droite,43,2024-11-01
2024-11,Gauche moderee,38,2024-11-01
2024-11,Gauche radicale,209,2024-11-01
2024-12,Centre / Majorite,6,2024-12-01
2024-12,Droite,15,2024-12-01
2024-12,Gauche moderee,10,2024-12-01
2024-12,Gauche radicale,103,2024-12-01
2025-01,Centre / Majorite,41,2025-01-01
2025-01,Droite,31,2025-01-01
2025-01,Gauche moderee,29,2025-01-01
2025-01,Gauche radicale,218,2025-01-01
2025-02,Centre / Majorite,44,2025-02-01
2025-02,Droite,45,2025-02-01
2025-02,Gauche moderee,12,2025-02-01
2025-02,Gauche radicale,74,2025-02-01
2025-03,Centre / Majorite,47,2025-03-01
2025-03,Droite,41,2025-03-01
2025-03,Gauche moderee,18,2025-03-01
2025-03,Gauche radicale,151,2025-03-01
2025-04,Centre / Majorite,26,2025-04-01
2025-04,Droite,24,2025-04-01
2025-04,Gauche moderee,14,2025-04-01
2025-04,Gauche radicale,230,2025-04-01
2025-05,Centre / Majorite,122,2025-05-01
2025-05,Droite,74,2025-05-01
2025-05,Gauche moderee,50,2025-05-01
2025-05,Gauche radicale,309,2025-05-01
2025-06,Centre / Majorite,116,2025-06-01
2025-06,Droite,101,2025-06-01
2025-06,Gauche moderee,57,2025-06-01
2025-06,Gauche radicale,548,2025-06-01
2025-07,Centre / Majorite,31,2025-07-01
2025-07,Droite,77,2025-07-01
2025-07,Gauche moderee,35,2025-07-01
2025-07,Gauche radicale,347,2025-07-01
2025-08,Centre / Majorite,14,2025-08-01
2025-08,Droite,22,2025-08-01
2025-08,Gauche moderee,20,2025-08-01
2025-08,Gauche radicale,127,2025-08-01
2025-09,Centre / Majorite,21,2025-09-01
2025-09,Droite,47,2025-09-01
2025-09,Gauche moderee,57,2025-09-01
2025-09,Gauche radicale,343,2025-09-01
2025-10,Centre / Majorite,57,2025-10-01
2025-10,Droite,40,2025-10-01
2025-10,Gauche moderee,10,2025-10-01
2025-10,Gauche radicale,260,2025-10-01
2025-11,Centre / Majorite,10,2025-11-01
2025-11,Droite,17,2025-11-01
2025-11,Gauche moderee,19,2025-11-01
2025-11,Gauche radicale,101,2025-11-01
2025-12,Centre / Majorite,14,2025-12-01
2025-12,Droite,11,2025-12-01
2025-12,Gauche moderee,15,2025-12-01
2025-12,Gauche radicale,97,2025-12-01
2026-01,Centre / Majorite,8,2026-01-01
2026-01,Droite,4,2026-01-01
2026-01,Gauche moderee,1,2026-01-01
2026-01,Gauche radicale,73,2026-01-01
