mois,GRAD,GMOD,CTR,DRT
2023-10,1.477,0.812,-0.773,-1.333
2023-11,1.562,0.789,-0.889,-1.250
2023-12,1.715,0.890,-0.893,-1.237
2024-01,1.476,0.956,-0.936,-1.133
2024-02,1.591,0.853,-0.764,-1.189
2024-03,1.587,0.861,-0.850,-1.342
2024-04,1.498,0.872,-0.882,-1.294
2024-05,1.727,1.217,-0.615,-1.524
2024-06,1.460,0.875,-0.712,-1.560
2024-07,1.675,1.000,-0.741,-1.650
2024-08,1.616,0.438,-1.314,-1.412
2024-09,1.542,1.095,-1.200,-1.263
2024-10,1.708,1.130,-0.871,-1.065
2024-11,1.598,1.132,-0.933,-1.209
2024-12,1.796,1.100,-0.833,-0.600
2025-01,1.505,0.862,-0.390,-0.903
2025-02,1.405,0.583,-1.023,-1.600
2025-03,1.404,1.056,-0.723,-1.390
2025-04,1.665,0.857,-0.538,-1.542
2025-05,1.570,0.880,-0.475,-1.500
2025-06,1.635,0.895,-0.560,-1.386
2025-07,1.669,1.400,-0.677,-1.494
2025-08,1.772,1.100,-1.143,-1.727
2025-09,1.714,1.070,-0.143,-1.277
2025-10,1.646,-0.100,-1.088,-1.100
2025-11,1.683,0.684,-0.400,-1.471
